x,y
-0.992809,0.0482178
-0.98031,0.0405884
-0.96781,0.0500488
-0.95531,0.0546265
-0.942808,0.0387573
-0.93031,0.039978
-0.917809,0.050354
-0.905309,0.0494385
-0.892809,0.057373
-0.88031,0.0344849
-0.867808,0.050354
-0.855309,0.0546265
-0.84281,0.0463867
-0.830309,0.0317383
-0.817809,0.0518799
-0.805311,0.0613403
-0.79281,0.0524902
-0.78031,0.0369263
-0.767808,0.0469971
-0.75531,0.0549316
-0.742809,0.0463867
-0.73031,0.03479
-0.71781,0.0442505
-0.705308,0.0558472
-0.69281,0.0497437
-0.68031,0.0341797
-0.667808,0.0473022
-0.65531,0.0598145
-0.64281,0.0424194
-0.63031,0.0418091
-0.617808,0.050354
-0.60531,0.0588989
-0.592808,0.0393677
-0.58031,0.0454712
-0.567809,0.055542
-0.555309,0.0695801
-0.54281,0.0946045
-0.530308,0.03479
-0.51781,0.0570679
-0.505309,0.0585938
-0.49281,0.0506592
-0.48031,0.0384521
-0.467808,0.050354
-0.45531,0.0546265
-0.442809,0.0509644
-0.430309,0.0411987
-0.41781,0.0476074
-0.40531,0.0631714
-0.392808,0.0396729
-0.38031,0.0360107
-0.36781,0.0500488
-0.35531,0.0567627
-0.342808,0.0509644
-0.330309,0.0372314
-0.31781,0.0527954
-0.305308,0.0616455
-0.292808,0.0561523
-0.280308,0.0534058
-0.267809,0.0531006
-0.255311,0.0521851
-0.103499,0.045166
-0.102497,0.0543213
-0.101498,0.06073
-0.100499,0.0585938
-0.099499,0.0598145
-0.0985,0.0662231
-0.097499,0.0686646
-0.096499,0.0585938
-0.095498,0.0488281
-0.0945,0.0390625
-0.093499,0.0552368
-0.092499,0.0549316
-0.0915,0.0430298
-0.0905,0.0350952
-0.0895,0.0354004
-0.088498,0.0476074
-0.087499,0.0521851
-0.086497,0.0546265
-0.085498,0.0479126
-0.084499,0.0616455
-0.0835,0.06073
-0.082499,0.0619507
-0.0815,0.0546265
-0.080498,0.0534058
-0.079499,0.055542
-0.078499,0.0695801
-0.077499,0.0494385
-0.076498,0.0415039
-0.075497,0.0390625
-0.074499,0.0396729
-0.073498,0.0411987
-0.072499,0.0344849
-0.071497,0.0384521
-0.070499,0.0500488
-0.069498,0.0527954
-0.0685,0.0558472
-0.067498,0.0570679
-0.066498,0.0561523
-0.065498,0.0646973
-0.064497,0.0595093
-0.063497,0.0601196
-0.062497,0.0506592
-0.061497,0.065918
-0.060497,0.0494385
-0.059499,0.0497437
-0.058498,0.0369263
-0.057498,0.0405884
-0.056497,0.0387573
-0.055497,0.0418091
-0.054497,0.0473022
-0.053499,0.0506592
-0.052499,0.0552368
-0.051499,0.0524902
-0.0505,0.06073
-0.049499,0.0576782
-0.0485,0.0582886
-0.047498,0.0732422
-0.046498,0.0582886
-0.045499,0.057373
-0.044499,0.0512695
-0.043499,0.0390625
-0.0425,0.0384521
-0.041498,0.0427246
-0.040499,0.0473022
-0.039499,0.0460815
-0.038499,0.0424194
-0.037499,0.0531006
-0.036499,0.0512695
-0.035499,0.0549316
-0.034499,0.0543213
-0.033498,0.0549316
-0.032498,0.0738525
-0.031499,0.0637817
-0.030497,0.0549316
-0.029497,0.0552368
-0.028497,0.0366211
-0.027499,0.0616455
-0.026498,0.0476074
-0.025499,0.0372314
-0.024499,0.0341797
-0.0235,0.027771
-0.022498,0.0357056
-0.021497,0.0375366
-0.020498,0.0427246
-0.019498,0.0595093
-0.018497,0.0582886
-0.017499,0.0546265
-0.016499,0.0567627
-0.015498,0.0531006
-0.014497,0.0585938
-0.013498,0.0662231
-0.012497,0.0601196
-0.011497,0.0479126
-0.010499,0.0439453
-0.009499,0.045166
-0.008499,0.0418091
-0.007499,0.0418091
-0.006498,0.0424194
-0.005499,0.0421143
0.000499,0.055542
0.000752,0.0442505
0.000998,0.045166
0.001248,0.0415039
0.001499,0.0482178
0.001751,0.0485229
0.001998,0.0500488
0.002248,0.0543213
0.002499,0.0524902
0.002749,0.057373
0.002998,0.0640869
0.003248,0.0570679
0.0035,0.0506592
0.003753,0.0561523
0.003998,0.0515747
0.004248,0.0549316
0.004498,0.0717163
0.004749,0.062561
0.004998,0.0616455
0.005248,0.0592041
0.005499,0.057373
0.005749,0.0534058
0.005997,0.0485229
0.006248,0.0634766
