x,y
-0.996052,0.0549316
-0.98355,0.0363159
-0.971052,0.0369263
-0.958551,0.0543213
-0.946048,0.062561
-0.933552,0.0415039
-0.921052,0.0360107
-0.908552,0.0540161
-0.896052,0.0561523
-0.883551,0.0418091
-0.871052,0.0299072
-0.858551,0.0524902
-0.846052,0.0610352
-0.83355,0.0427246
-0.821052,0.0387573
-0.808552,0.045166
-0.796052,0.0518799
-0.783552,0.039978
-0.771052,0.0341797
-0.758552,0.0567627
-0.746052,0.0570679
-0.733552,0.0424194
-0.721052,0.0308228
-0.708552,0.0491333
-0.696051,0.0488281
-0.683552,0.0415039
-0.671052,0.0354004
-0.658551,0.0564575
-0.646052,0.055542
-0.633552,0.0421143
-0.621052,0.0363159
-0.608552,0.0509644
-0.596052,0.0534058
-0.58355,0.0439453
-0.571052,0.0390625
-0.558552,0.0546265
-0.546051,0.055542
-0.533552,0.0402832
-0.521052,0.0369263
-0.508552,0.0469971
-0.496052,0.0592041
-0.483551,0.0393677
-0.471052,0.039978
-0.458552,0.0476074
-0.446053,0.0537109
-0.433552,0.0366211
-0.421052,0.0488281
-0.408552,0.0460815
-0.396052,0.0588989
-0.383551,0.0396729
-0.371052,0.038147
-0.358552,0.0439453
-0.346052,0.050354
-0.333551,0.0354004
-0.321052,0.0271606
-0.308552,0.0463867
-0.296052,0.0598145
-0.283551,0.0369263
-0.271052,0.0402832
-0.258552,0.0512695
-0.246052,0.0491333
-0.233552,0.039978
-0.221052,0.0320435
-0.208552,0.0521851
-0.196053,0.0619507
-0.195052,0.0579834
-0.194052,0.0598145
-0.193052,0.0567627
-0.192051,0.0439453
-0.191052,0.0466919
-0.190052,0.0424194
-0.189052,0.0421143
-0.188052,0.0430298
-0.187051,0.0332642
-0.186052,0.045166
-0.185052,0.0396729
-0.184052,0.0317383
-0.183052,0.039978
-0.182052,0.0448608
-0.181052,0.0561523
-0.180052,0.0534058
-0.179051,0.0564575
-0.178052,0.0491333
-0.177052,0.0601196
-0.176052,0.0582886
-0.175052,0.0491333
-0.174051,0.0424194
-0.173052,0.0445557
-0.172052,0.0378418
-0.171052,0.0338745
-0.170052,0.0350952
-0.169052,0.0299072
-0.168052,0.0308228
-0.167052,0.0466919
-0.166052,0.0384521
-0.165052,0.0488281
-0.164052,0.0473022
-0.163052,0.0460815
-0.162052,0.0601196
-0.161051,0.0488281
-0.160052,0.0531006
-0.159052,0.0509644
-0.158052,0.0485229
-0.157052,0.0488281
-0.15605,0.0488281
-0.155051,0.0372314
-0.154051,0.0323486
-0.153051,0.0369263
-0.152052,0.0341797
-0.151051,0.0308228
-0.15005,0.0354004
-0.14905,0.0415039
-0.148051,0.0509644
-0.147051,0.0558472
-0.14605,0.0540161
-0.145052,0.0488281
-0.144051,0.0622559
-0.143051,0.0585938
-0.14205,0.0567627
-0.141052,0.0476074
-0.140052,0.0531006
-0.139051,0.0350952
-0.138052,0.0390625
-0.137052,0.0369263
-0.136052,0.0387573
-0.135052,0.03479
-0.134052,0.0363159
-0.133052,0.0384521
-0.132052,0.0369263
-0.131052,0.0424194
-0.130052,0.0604248
-0.129052,0.0570679
-0.128052,0.0585938
-0.127052,0.0543213
-0.126052,0.0482178
-0.125052,0.0375366
-0.124052,0.045166
-0.123052,0.0408936
-0.122052,0.0601196
-0.121052,0.0415039
-0.120052,0.0415039
-0.119051,0.03479
-0.118052,0.0289917
-0.117052,0.038147
-0.116052,0.0320435
-0.115052,0.0439453
-0.114052,0.0500488
-0.113052,0.0506592
-0.112052,0.0540161
-0.111052,0.0527954
-0.110052,0.0515747
-0.109052,0.06073
-0.108052,0.0540161
-0.107052,0.0463867
-0.106052,0.0457764
-0.104752,0.0588989
-0.103751,0.0411987
-0.102751,0.0369263
-0.101751,0.0427246
-0.100749,0.0256348
-0.09975,0.0335693
-0.098751,0.0421143
-0.097751,0.045166
-0.096752,0.0601196
-0.095752,0.0482178
-0.094751,0.0585938
-0.09375,0.0558472
-0.092751,0.0567627
-0.09175,0.055542
-0.09075,0.0457764
-0.089751,0.0457764
-0.088751,0.0402832
-0.08775,0.0369263
-0.08675,0.0415039
-0.085751,0.0256348
-0.084749,0.0323486
-0.08375,0.0320435
-0.082751,0.0424194
-0.081751,0.0473022
-0.080751,0.0430298
-0.079751,0.0424194
-0.078751,0.0631714
-0.077751,0.0570679
-0.076751,0.0576782
-0.075752,0.0622559
-0.074751,0.0506592
-0.073751,0.0473022
-0.072749,0.0537109
-0.071749,0.0335693
-0.07075,0.0421143
-0.06975,0.0378418
-0.06875,0.0280762
-0.067751,0.0378418
-0.066751,0.0424194
-0.065751,0.0393677
-0.064751,0.045166
-0.063751,0.0775146
-0.062751,0.0561523
-0.061749,0.0567627
-0.060751,0.0521851
-0.059751,0.0595093
-0.058751,0.0546265
-0.057751,0.0576782
-0.056751,0.0558472
-0.055751,0.0512695
-0.054749,0.0515747
-0.05375,0.0363159
-0.05275,0.0317383
-0.051751,0.0338745
-0.05075,0.0408936
-0.049751,0.0473022
-0.048751,0.0372314
-0.047751,0.045166
-0.046751,0.0552368
-0.045751,0.0466919
-0.044751,0.0598145
-0.043751,0.0439453
-0.042752,0.0479126
-0.041751,0.0540161
-0.04075,0.0512695
-0.039751,0.0408936
-0.038751,0.039978
-0.037752,0.03479
-0.03675,0.0354004
-0.03575,0.0350952
