x,y
-0.996041,0.0473022
-0.983541,0.0424194
-0.971042,0.0402832
-0.958542,0.0585938
-0.946042,0.0540161
-0.933542,0.0457764
-0.921042,0.0479126
-0.908542,0.0534058
-0.896042,0.0418091
-0.88354,0.043335
-0.871042,0.0479126
-0.858542,0.0537109
-0.846042,0.0534058
-0.83354,0.0427246
-0.821042,0.0427246
-0.808541,0.0473022
-0.796042,0.0500488
-0.783542,0.0448608
-0.771042,0.0457764
-0.758541,0.0546265
-0.746042,0.0524902
-0.733542,0.0457764
-0.721042,0.0427246
-0.708542,0.0595093
-0.696042,0.0415039
-0.683542,0.0335693
-0.671042,0.0439453
-0.658542,0.0564575
-0.64604,0.0531006
-0.633542,0.0314331
-0.621042,0.0491333
-0.608542,0.0619507
-0.596042,0.0531006
-0.583541,0.0430298
-0.571042,0.045166
-0.558542,0.0534058
-0.546042,0.0509644
-0.533542,0.0393677
-0.521042,0.0460815
-0.508541,0.0592041
-0.496042,0.0546265
-0.483542,0.0442505
-0.471042,0.0366211
-0.458543,0.0488281
-0.446042,0.0582886
-0.433542,0.0372314
-0.421042,0.0354004
-0.408542,0.0524902
-0.396043,0.0524902
-0.383541,0.0466919
-0.371042,0.050354
-0.358543,0.0506592
-0.346042,0.0567627
-0.333541,0.0314331
-0.321042,0.0341797
-0.308542,0.0686646
-0.296042,0.0549316
-0.28354,0.0473022
-0.271042,0.043335
-0.258542,0.0564575
-0.246042,0.0506592
-0.233541,0.0402832
-0.221042,0.0448608
-0.208542,0.0515747
-0.196043,0.0479126
-0.195042,0.0540161
-0.194042,0.0588989
-0.193042,0.0546265
-0.192042,0.0579834
-0.191042,0.0549316
-0.190042,0.0479126
-0.189042,0.0463867
-0.188042,0.0415039
-0.187042,0.0350952
-0.186042,0.0335693
-0.185042,0.0360107
-0.184042,0.0363159
-0.183042,0.0448608
-0.182042,0.0497437
-0.181042,0.0891113
-0.180042,0.0518799
-0.179042,0.0567627
-0.178042,0.0610352
-0.177042,0.06073
-0.176042,0.0564575
-0.175042,0.0686646
-0.174042,0.0473022
-0.173042,0.0439453
-0.172042,0.0445557
-0.171042,0.0482178
-0.170043,0.0363159
-0.169042,0.0442505
-0.168042,0.0402832
-0.167042,0.0384521
-0.166042,0.0497437
-0.165042,0.0527954
-0.164042,0.0531006
-0.163042,0.050354
-0.162042,0.0579834
-0.161042,0.0543213
-0.160042,0.0674438
-0.159042,0.0595093
-0.158042,0.0579834
-0.157038,0.0521851
-0.156042,0.0552368
-0.155042,0.0378418
-0.154042,0.0357056
-0.153042,0.0375366
-0.152041,0.0424194
-0.151042,0.0430298
-0.150042,0.0402832
-0.149042,0.0393677
-0.148042,0.050354
-0.147042,0.0506592
-0.146042,0.0610352
-0.145042,0.0656128
-0.144042,0.0631714
-0.143042,0.0610352
-0.142042,0.055542
-0.141042,0.0524902
-0.140042,0.0476074
-0.139042,0.043335
-0.138042,0.0442505
-0.137042,0.038147
-0.136042,0.0369263
-0.135042,0.0354004
-0.134042,0.03479
-0.133042,0.0405884
-0.132042,0.0482178
-0.131042,0.0500488
-0.130042,0.0521851
-0.129042,0.0585938
-0.128042,0.0567627
-0.127042,0.0579834
-0.126042,0.0598145
-0.125042,0.0564575
-0.124042,0.0686646
-0.123042,0.0561523
-0.122042,0.0418091
-0.121042,0.0466919
-0.120042,0.0369263
-0.119042,0.0488281
-0.118042,0.0411987
-0.117042,0.0393677
-0.116042,0.0436401
-0.115042,0.0448608
-0.114042,0.0500488
-0.113042,0.06073
-0.112042,0.0564575
-0.111042,0.0567627
-0.110042,0.0588989
-0.109042,0.0610352
-0.108042,0.0570679
-0.107042,0.0466919
-0.106042,0.0442505
-0.104751,0.0521851
-0.10375,0.0402832
-0.10275,0.0402832
-0.10175,0.0405884
-0.100749,0.0384521
-0.09975,0.0436401
-0.09875,0.0430298
-0.09775,0.0491333
-0.09675,0.0515747
-0.09575,0.0534058
-0.09475,0.0582886
-0.09375,0.0598145
-0.09275,0.0592041
-0.09175,0.0769043
-0.090749,0.0582886
-0.08975,0.0524902
-0.088751,0.0439453
-0.08775,0.0421143
-0.08675,0.0408936
-0.08575,0.0421143
-0.08475,0.0369263
-0.08375,0.032959
-0.08275,0.0442505
-0.08175,0.0439453
-0.08075,0.0509644
-0.07975,0.0442505
-0.07875,0.057373
-0.07775,0.0622559
