x,y
-0.987549,0.0592041
-0.975051,0.0564575
-0.962551,0.0387573
-0.950052,0.050354
-0.937551,0.0640869
-0.925051,0.0650024
-0.912551,0.0357056
-0.900051,0.0543213
-0.887549,0.0552368
-0.875051,0.0476074
-0.862549,0.0360107
-0.850051,0.0479126
-0.837551,0.0656128
-0.825051,0.0576782
-0.81255,0.0396729
-0.800051,0.0494385
-0.100499,0.0604248
-0.099498,0.06073
-0.0985,0.0582886
-0.0975,0.0512695
-0.096498,0.0360107
-0.0955,0.0418091
-0.094498,0.043335
-0.093498,0.0537109
-0.0925,0.0439453
-0.0915,0.0418091
-0.0905,0.0421143
-0.0895,0.0457764
-0.088498,0.0473022
-0.0875,0.0601196
-0.0865,0.057373
-0.085499,0.0585938
-0.0845,0.0640869
-0.0835,0.0567627
-0.082499,0.0610352
-0.0815,0.0543213
-0.080501,0.0527954
-0.079498,0.0393677
-0.0785,0.0430298
-0.0775,0.0387573
-0.076499,0.0411987
-0.075499,0.0332642
-0.074499,0.0408936
-0.0735,0.0436401
-0.072499,0.0567627
-0.071501,0.0613403
-0.0705,0.0485229
-0.0695,0.0601196
-0.068498,0.0613403
-0.067498,0.0576782
-0.066498,0.0665283
-0.065499,0.0509644
-0.0645,0.0469971
-0.0635,0.0622559
-0.0625,0.0408936
-0.0615,0.0375366
-0.0605,0.0430298
-0.059499,0.0332642
-0.0585,0.03479
-0.057498,0.0527954
-0.056499,0.0439453
-0.0555,0.0604248
-0.054499,0.0515747
-0.053499,0.0616455
-0.052499,0.0686646
-0.051499,0.0582886
-0.0505,0.0604248
-0.0495,0.0543213
-0.0485,0.0445557
-0.0475,0.0482178
-0.0465,0.0479126
-0.0455,0.0421143
-0.0445,0.0430298
-0.043499,0.0357056
-0.042499,0.0469971
-0.0415,0.0427246
-0.0405,0.0436401
-0.0395,0.0534058
-0.0385,0.0564575
-0.0375,0.0570679
-0.0365,0.0616455
-0.0355,0.0570679
-0.0345,0.0701904
-0.033499,0.0650024
-0.0325,0.0570679
-0.0315,0.0442505
-0.0305,0.0485229
-0.029498,0.0463867
-0.028499,0.0482178
-0.027499,0.0442505
-0.026498,0.0338745
-0.0255,0.0512695
-0.0245,0.039978
-0.0235,0.0494385
-0.022498,0.0521851
-0.021498,0.0598145
-0.020499,0.0601196
-0.019499,0.0604248
-0.018499,0.0479126
-0.0175,0.0531006
-0.0165,0.0592041
-0.015498,0.0537109
-0.0145,0.0540161
-0.013499,0.0445557
-0.012499,0.032959
-0.0115,0.0387573
-0.0105,0.0369263
-0.009498,0.0357056
-0.0085,0.0366211
-0.007498,0.0457764
-0.006498,0.0466919
-0.005499,0.0558472
0.0005,0.0485229
0.00075,0.0595093
0.001,0.0610352
0.001251,0.0515747
0.001502,0.0482178
0.00175,0.0790405
0.002,0.0576782
0.00225,0.0476074
0.0025,0.0610352
0.00275,0.0540161
0.003,0.057373
0.00325,0.0552368
0.0035,0.0686646
0.003751,0.0595093
0.003999,0.0646973
0.004249,0.0549316
0.004499,0.0601196
0.004751,0.0689697
0.005,0.0616455
0.005251,0.057373
0.005501,0.0595093
0.005749,0.0857544
0.006,0.0582886
0.006252,0.0537109
0.006503,0.0485229
0.00675,0.0579834
0.007,0.0491333
0.007251,0.0497437
0.007502,0.0534058
0.00775,0.0469971
0.008,0.0436401
0.008252,0.0537109
0.008502,0.0460815
0.00875,0.0473022
0.009,0.0463867
0.00925,0.032959
0.0095,0.0463867
0.009751,0.0439453
0.01,0.0418091
0.01025,0.0320435
0.010501,0.0369263
0.010749,0.0408936
0.011,0.0344849
0.01125,0.0372314
0.011501,0.045166
0.011749,0.038147
0.012,0.0366211
0.012251,0.0296021
0.012502,0.0445557
0.012749,0.0427246
0.013,0.0378418
0.01325,0.0302124
0.0135,0.038147
0.013752,0.0338745
0.014001,0.039978
0.01425,0.0439453
0.0145,0.043335
0.014751,0.0454712
0.015001,0.0479126
0.01525,0.0411987
0.0155,0.0460815
0.015752,0.0466919
0.016001,0.0500488
0.016249,0.0512695
0.0165,0.0473022
0.016751,0.0500488
0.017,0.06073
0.017251,0.0537109
0.017501,0.0549316
0.017749,0.0610352
0.017999,0.0537109
0.01825,0.0570679
0.0185,0.057373
0.018751,0.06073
0.019,0.0582886
0.019251,0.065918
0.019499,0.0549316
0.019749,0.0619507
0.019999,0.0567627
0.02025,0.0650024
0.0205,0.0592041
0.02075,0.0579834
0.021,0.0585938
0.021252,0.0631714
0.021502,0.0592041
0.02175,0.0561523
0.022,0.0570679
0.022252,0.050354
0.022503,0.0524902
0.02275,0.0561523
0.023,0.0497437
0.023252,0.0509644
0.0235,0.0473022
0.02375,0.0534058
0.024,0.0531006
0.024251,0.0527954
0.024502,0.0372314
0.02475,0.0540161
0.025,0.0469971
0.025251,0.0390625
0.025502,0.0442505
0.02575,0.0454712
0.026,0.0418091
0.026252,0.0439453
0.026502,0.0411987
0.02675,0.0476074
0.027,0.0396729
0.027251,0.0366211
0.027502,0.0436401
0.02775,0.039978
0.028,0.0424194
0.028251,0.0344849
0.0285,0.0384521
0.02875,0.0357056
0.029,0.0369263
0.02925,0.0369263
0.029501,0.0387573
0.029749,0.0344849
0.03,0.0476074
0.030251,0.0357056
0.030501,0.0442505
0.03075,0.0497437
0.031,0.0408936
0.03125,0.045166
0.0315,0.0415039
0.031752,0.0491333
0.032001,0.0436401
0.03225,0.045166
0.0325,0.0570679
0.032751,0.0405884
0.033,0.0570679
0.03325,0.0457764
0.0335,0.0500488
0.033751,0.0534058
0.034001,0.0534058
0.03425,0.0640869
0.0345,0.0488281
0.034751,0.0521851
0.035,0.0537109
0.03525,0.0601196
0.0355,0.0650024
0.035751,0.0546265
0.036,0.0564575
0.03625,0.0543213
0.036502,0.055542
0.03675,0.0643921
0.037,0.0637817
0.03725,0.0579834
0.0375,0.0616455
0.03775,0.06073
0.038,0.0701904
0.03825,0.0640869
0.0385,0.0610352
0.038751,0.0628662
0.039,0.0531006
0.03925,0.0686646
0.0395,0.0613403
0.03975,0.050354
0.04,0.0405884
0.040251,0.0469971
0.040502,0.0704956
0.04075,0.0506592
0.041,0.0448608
0.04125,0.0402832
0.0415,0.0448608
0.041751,0.0411987
0.042001,0.0479126
0.042251,0.0390625
0.0425,0.0491333
0.042752,0.0418091
0.043001,0.0494385
0.043251,0.0354004
0.0435,0.0357056
0.043752,0.0482178
0.044,0.0363159
0.04425,0.03479
0.0445,0.0588989
0.044751,0.0402832
0.045,0.0427246
0.04525,0.0424194
0.0455,0.0335693
0.045751,0.0363159
0.046,0.0430298
0.04625,0.0402832
0.0465,0.032959
0.046751,0.0427246
0.047,0.0408936
0.047251,0.0442505
0.047501,0.0387573
0.04775,0.0476074
0.048,0.0405884
0.04825,0.045166
0.0485,0.045166
0.04875,0.0393677
0.049,0.0564575
0.049251,0.0482178
0.049502,0.0598145
0.04975,0.0534058
0.05,0.0604248
0.05025,0.0552368
0.0505,0.0585938
0.050752,0.0515747
0.051,0.0634766
0.051249,0.06073
0.0515,0.0619507
0.051752,0.0558472
0.052,0.0637817
0.052249,0.062561
0.0525,0.055542
0.052751,0.057373
0.053,0.0592041
0.053249,0.0506592
0.0535,0.0543213
0.053751,0.0601196
0.054,0.0570679
0.054249,0.0656128
0.0545,0.0613403
0.054751,0.0631714
0.055,0.0567627
0.055251,0.0567627
0.055501,0.0616455
0.055749,0.0543213
0.056,0.0552368
0.05625,0.0524902
0.056499,0.0588989
0.05675,0.0518799
0.056999,0.0579834
0.057251,0.0527954
0.057502,0.0549316
0.05775,0.0494385
0.058,0.0546265
0.058251,0.0473022
0.058502,0.0430298
0.05875,0.0463867
0.059,0.0515747
0.059252,0.0408936
0.059504,0.0396729
0.05975,0.0479126
0.06,0.0430298
0.060251,0.0320435
0.0605,0.0424194
0.060749,0.0424194
0.061,0.0384521
0.06125,0.0372314
0.0615,0.0357056
0.06175,0.0378418
0.062,0.0393677
0.062251,0.0314331
0.062501,0.03479
0.062749,0.0354004
0.063,0.0338745
0.063251,0.0366211
0.0635,0.0424194
0.06375,0.0363159
0.063999,0.0387573
0.064249,0.0418091
0.0645,0.0476074
0.06475,0.0393677
0.065,0.0442505
0.065251,0.0482178
0.065503,0.0506592
0.065749,0.0549316
0.066,0.0515747
0.066251,0.0482178
0.0665,0.0448608
0.06675,0.0549316
0.067,0.0509644
0.067252,0.050354
0.067502,0.0521851
0.06775,0.0570679
0.068,0.0585938
0.068251,0.0515747
0.068502,0.0628662
0.06875,0.0610352
0.069,0.0604248
0.06925,0.0512695
0.069501,0.0585938
0.069749,0.0598145
0.07,0.0524902
0.070251,0.0671387
0.070499,0.0668335
0.070749,0.0515747
0.071,0.0552368
0.07125,0.0637817
0.071501,0.0585938
0.071749,0.0588989
0.072,0.0588989
0.07225,0.0564575
0.072501,0.0552368
0.072749,0.0616455
0.073,0.0531006
0.073252,0.0576782
0.0735,0.0494385
0.073749,0.0448608
0.074,0.0448608
0.074251,0.043335
0.074502,0.0430298
0.07475,0.045166
0.075,0.0500488
0.075251,0.0445557
0.0755,0.0463867
