x,y
-0.999053,0.065918
-0.986552,0.0515747
-0.974053,0.0354004
-0.961552,0.0430298
-0.949053,0.0643921
-0.936552,0.0491333
-0.924053,0.0469971
-0.911551,0.0488281
-0.899053,0.0671387
-0.886551,0.0640869
-0.874053,0.038147
-0.861553,0.0482178
-0.849053,0.0674438
-0.836553,0.045166
-0.824053,0.0402832
-0.811553,0.0463867
-0.799053,0.0582886
-0.786553,0.055542
-0.774053,0.0411987
-0.761553,0.0497437
-0.749053,0.0582886
-0.736553,0.0616455
-0.724053,0.0424194
-0.711551,0.0439453
-0.699053,0.055542
-0.686553,0.0527954
-0.674053,0.0390625
-0.661552,0.0592041
-0.649053,0.0622559
-0.636553,0.0527954
-0.624053,0.0418091
-0.611552,0.0408936
-0.599053,0.0613403
-0.586552,0.0476074
-0.574053,0.0357056
-0.561551,0.0445557
-0.549053,0.0582886
-0.536551,0.0512695
-0.524053,0.0384521
-0.511553,0.0494385
-0.499052,0.0534058
-0.486553,0.0466919
-0.474053,0.0305176
-0.461552,0.0427246
-0.449053,0.0543213
-0.436553,0.0408936
-0.424054,0.0366211
-0.411553,0.0463867
-0.399054,0.0668335
-0.386553,0.0592041
-0.374053,0.038147
-0.361553,0.0427246
-0.349054,0.0616455
-0.336552,0.0558472
-0.324053,0.0378418
-0.311551,0.0476074
-0.299053,0.0616455
-0.286552,0.0570679
-0.274054,0.0326538
-0.261552,0.0405884
-0.249053,0.0592041
-0.236552,0.0457764
-0.224054,0.0497437
-0.211553,0.0491333
-0.199054,0.0683594
-0.198054,0.0543213
-0.197054,0.0561523
-0.196053,0.0521851
-0.195053,0.043335
-0.194053,0.0509644
-0.193054,0.0454712
-0.192053,0.0366211
-0.191053,0.0402832
-0.190054,0.0396729
-0.189053,0.039978
-0.188053,0.0518799
-0.187053,0.0454712
-0.186053,0.0601196
-0.185054,0.0564575
-0.184053,0.0567627
-0.183054,0.0653076
-0.182052,0.0601196
-0.181053,0.0631714
-0.180054,0.0543213
-0.179054,0.0448608
-0.178054,0.0439453
-0.177054,0.0363159
-0.176053,0.0436401
-0.175054,0.0436401
-0.174053,0.0354004
-0.173053,0.0421143
-0.172053,0.043335
-0.171053,0.0454712
-0.170053,0.0543213
-0.169053,0.0500488
-0.168053,0.0524902
-0.167053,0.0598145
-0.166053,0.0656128
-0.165054,0.0640869
-0.164053,0.0588989
-0.163054,0.0521851
-0.162054,0.0570679
-0.161053,0.045166
-0.160054,0.0427246
-0.159053,0.0424194
-0.158054,0.03479
-0.157053,0.0363159
-0.156052,0.0308228
-0.155053,0.0518799
-0.154054,0.055542
-0.153054,0.0515747
