x,y
-0.992789,0.0616455
-0.980287,0.0531006
-0.967787,0.0454712
-0.955289,0.0415039
-0.942788,0.0585938
-0.930288,0.0518799
-0.917788,0.0390625
-0.905289,0.0469971
-0.892788,0.0686646
-0.880289,0.0500488
-0.867789,0.0387573
-0.855289,0.0408936
-0.842787,0.0561523
-0.830289,0.0524902
-0.817789,0.0466919
-0.805289,0.0454712
-0.792788,0.0515747
-0.780288,0.0512695
-0.767787,0.0445557
-0.755289,0.0479126
-0.742787,0.0588989
-0.730289,0.0540161
-0.717788,0.0396729
-0.705289,0.0515747
-0.692789,0.06073
-0.680289,0.0665283
-0.667789,0.0393677
-0.655288,0.0424194
-0.642787,0.0585938
-0.630289,0.0616455
-0.61779,0.0460815
-0.60529,0.0415039
-0.592787,0.0518799
-0.580289,0.0527954
-0.567789,0.0457764
-0.555289,0.0421143
-0.542788,0.0543213
-0.53029,0.0549316
-0.517789,0.0460815
-0.505289,0.0427246
-0.492788,0.0473022
-0.480289,0.0488281
-0.467788,0.0442505
-0.455289,0.0466919
-0.442789,0.0592041
-0.43029,0.0515747
-0.417788,0.0387573
-0.405288,0.0424194
-0.095249,0.0531006
-0.09425,0.0534058
-0.093249,0.0415039
-0.09225,0.0527954
-0.09125,0.0500488
-0.090251,0.0476074
-0.089249,0.0311279
-0.08825,0.0332642
-0.087249,0.0390625
-0.086249,0.0418091
-0.085249,0.0448608
-0.08425,0.0457764
-0.083249,0.0512695
-0.082248,0.0631714
-0.081249,0.0579834
-0.08025,0.0592041
-0.079249,0.0604248
-0.078249,0.067749
-0.077251,0.057373
-0.07625,0.0546265
-0.075249,0.0518799
-0.07425,0.0384521
-0.073249,0.0448608
-0.072249,0.0396729
-0.071248,0.050354
-0.07025,0.0411987
-0.06925,0.0320435
-0.06825,0.0396729
-0.06725,0.0497437
-0.06625,0.0570679
-0.06525,0.06073
-0.064249,0.0567627
-0.063249,0.0534058
-0.062251,0.0631714
-0.061249,0.0689697
-0.060249,0.0488281
-0.05925,0.0460815
-0.05825,0.0473022
-0.057249,0.0457764
-0.056249,0.0350952
-0.05525,0.043335
-0.054251,0.0363159
-0.053251,0.0354004
-0.05225,0.0512695
