x,y
-0.996051,0.0546265
-0.98355,0.039978
-0.971051,0.0335693
-0.958551,0.0518799
-0.946052,0.0653076
-0.93355,0.0366211
-0.921051,0.0308228
-0.908551,0.0674438
-0.896052,0.0549316
-0.883551,0.0357056
-0.871051,0.0402832
-0.858551,0.0527954
-0.846051,0.050354
-0.83355,0.0418091
-0.821051,0.0350952
-0.808551,0.0491333
-0.796051,0.0466919
-0.783551,0.0415039
-0.771051,0.0296021
-0.758551,0.0534058
-0.746052,0.0680542
-0.73355,0.0402832
-0.721051,0.0494385
-0.708551,0.0415039
-0.696051,0.0537109
-0.68355,0.0326538
-0.671051,0.0314331
-0.096498,0.0543213
-0.095497,0.0485229
-0.0945,0.0421143
-0.0935,0.0341797
-0.0925,0.0344849
-0.0915,0.0424194
-0.090499,0.050354
-0.0895,0.0341797
-0.088498,0.0369263
-0.0875,0.0378418
-0.086499,0.0567627
-0.085499,0.0463867
-0.084498,0.0524902
-0.0835,0.0622559
-0.0825,0.0561523
-0.0815,0.0579834
-0.0805,0.0531006
-0.079499,0.0500488
-0.0785,0.0430298
-0.077499,0.0543213
-0.076499,0.039978
-0.075498,0.0424194
-0.0745,0.0320435
-0.073501,0.0350952
-0.072498,0.0314331
-0.071499,0.03479
-0.0705,0.0506592
-0.0695,0.0546265
-0.068498,0.0570679
-0.067498,0.0506592
-0.0665,0.0567627
-0.065499,0.0537109
-0.064499,0.0570679
-0.063498,0.0491333
-0.0625,0.0442505
-0.0615,0.0491333
-0.060501,0.0418091
-0.0595,0.0424194
-0.058499,0.0289917
-0.057501,0.0408936
-0.056501,0.0332642
-0.0555,0.0378418
-0.054499,0.0366211
-0.053498,0.0372314
-0.0525,0.0369263
-0.051499,0.0488281
-0.050499,0.0692749
-0.049499,0.0527954
-0.0485,0.0570679
-0.047499,0.0582886
-0.046501,0.0524902
-0.0455,0.0473022
-0.044498,0.0466919
-0.0435,0.0454712
-0.0425,0.0408936
-0.041498,0.0393677
-0.040499,0.0350952
-0.039498,0.0387573
-0.038501,0.0360107
-0.0375,0.0408936
-0.0365,0.0469971
-0.0355,0.0466919
-0.0345,0.0488281
-0.0335,0.0527954
-0.032499,0.0552368
-0.031499,0.0592041
-0.0305,0.0564575
-0.029499,0.057373
-0.028499,0.050354
-0.027499,0.038147
-0.0265,0.0396729
-0.025498,0.038147
-0.024499,0.0354004
-0.023499,0.0338745
-0.022499,0.0305176
-0.0215,0.0372314
-0.020499,0.0396729
-0.0195,0.0469971
-0.0185,0.0476074
-0.017499,0.0534058
-0.0165,0.0634766
-0.015498,0.0585938
-0.014498,0.0469971
-0.013501,0.0454712
-0.0125,0.0534058
-0.0115,0.0415039
-0.010498,0.038147
-0.0095,0.045166
-0.0085,0.0335693
-0.007499,0.0396729
-0.0065,0.0332642
-0.005498,0.0482178
0.0005,0.0311279
0.000752,0.0283813
0.001001,0.0415039
0.00125,0.0390625
0.0015,0.043335
0.001752,0.0378418
0.002,0.0430298
0.002251,0.0509644
0.0025,0.0527954
0.00275,0.0558472
0.003,0.0463867
0.00325,0.0622559
0.0035,0.050354
0.003752,0.0588989
0.004001,0.0482178
0.00425,0.0494385
0.0045,0.050354
0.004751,0.0546265
0.005002,0.0531006
0.005249,0.0485229
0.0055,0.0549316
0.00575,0.0561523
0.006,0.0537109
0.006249,0.0531006
0.0065,0.0570679
0.00675,0.0564575
0.007,0.0512695
0.00725,0.0546265
0.007499,0.0668335
0.00775,0.0491333
0.007999,0.0518799
0.008251,0.0576782
0.008501,0.0561523
0.008749,0.0576782
0.009,0.0561523
0.009251,0.0457764
0.0095,0.0408936
0.00975,0.0527954
0.01,0.0524902
0.010252,0.0531006
0.010502,0.0421143
0.01075,0.0460815
0.011,0.0488281
0.011252,0.0396729
0.011504,0.038147
0.01175,0.0299072
0.012,0.0335693
0.012251,0.0445557
0.0125,0.0418091
