t(s),incident,permeation
1.0,0.0,263584360530477.25
2.0,2.1509223165281316e+16,323885909134413.6
3.0,2.2559824333494028e+16,353040169900283.3
4.0,2.1903161525870784e+16,379498159368983.9
5.0,2.2877277140515596e+16,411055890759887.1
6.0,2.4731574199817708e+16,447912480428920.2
7.0,2.7094748140775076e+16,490525883226201.6
8.0,3.525754369482655e+16,557142914399766.1
9.0,3.574518032149736e+16,614863170453943.0
10.0,3.678868557910654e+16,678186429420762.6
11.0,3.741024650572483e+16,745057170977027.2
12.0,3.719857973737165e+16,813317567249822.8
13.0,4.227430036419321e+16,903661687003271.4
14.0,3.7063564907753704e+16,970069037083009.4
15.0,3.3908547861793536e+16,1035803073716094.6
16.0,3.1829277097682332e+16,1101044276058644.1
17.0,3.0307585826521884e+16,1165755233053424.5
18.0,3.3107496891841644e+16,1246248751710955.5
19.0,2.6527798875435996e+16,1297192000682851.5
20.0,2.2202264303329324e+16,1342080333124810.2
21.0,2.0405100043168704e+16,1387373470267535.5
22.0,1.971477879372452e+16,1433407752727346.5
23.0,2.2338361870937788e+16,1492578702518784.2
24.0,1.9005392174246044e+16,1533772478409817.2
25.0,1.6946874732327442e+16,1571874504149814.5
26.0,1.557150200647094e+16,1607678582409573.5
27.0,1.4585891768493488e+16,1641668100159295.2
28.0,1.621846060581298e+16,1684899787556774.2
29.0,1.3984356320712304e+16,1715701320587305.8
30.0,1.2827179076208404e+16,1745076624354318.2
31.0,1.2095732039273306e+16,1773177183133212.5
32.0,1.150735718249255e+16,1799908519579502.0
33.0,1.2747639662883694e+16,1833466453257549.8
34.0,1.107019752167932e+16,1857355906267550.2
35.0,1.0391315238026758e+16,1880883973047533.5
36.0,1.0000219135544414e+16,1903769020199107.2
37.0,1.0377773222058002e+16,1929136120245149.5
38.0,1.2433423598946604e+16,1963697042131421.2
39.0,1.1605790450929842e+16,1991097971900415.8
40.0,1.1535851272402294e+16,2019590557202937.8
41.0,1.1653696073907254e+16,2048866026370902.8
42.0,1.1664324600097402e+16,2078097334423709.8
43.0,1.3354381476550782e+16,2115606903852635.2
44.0,1.192194446435928e+16,2143526623196246.2
45.0,1.2196411643445914e+16,2175200987029731.8
46.0,1.2879659286203364e+16,2209910759426471.5
47.0,1.282352988151446e+16,2243350963259881.5
48.0,1.3492395766198444e+16,2280322210737987.5
49.0,1.0000397109681892e+16,2298881209263137.0
50.0,8945885359977674.0,2317854977451867.0
51.0,8272464623960352.0,2335200918788202.0
52.0,8265731552770503.0,2353615123739538.0
53.0,8424384516138580.0,2372844097952637.0
54.0,7117432040656017.0,2385193465583380.5
55.0,6530544091987933.0,2396672634795722.5
56.0,5561927791158348.0,2404170594997273.0
