t(s),incident,permeation
1.0,0.0,796723597550472.2
2.0,0.0,794980082435376.8
3.0,0.0,793227235951861.9
4.0,7412486644553528.0,818437867170526.8
5.0,1.0743034196985624e+16,843817746774087.4
6.0,1.3686525912941186e+16,874759980551899.0
7.0,1.6350265645001464e+16,911153723994483.5
8.0,1.8820730543885696e+16,953016231851136.6
9.0,2.540754949084815e+16,1016773360108627.1
10.0,2.510106732503463e+16,1069889732943593.4
11.0,2.5474057442540904e+16,1126209585262618.0
12.0,2.581962858955769e+16,1184631942587173.5
13.0,2.5875922479446056e+16,1244059583691799.8
14.0,3.0266610995116348e+16,1322942604786749.0
15.0,2.6456232472422796e+16,1380444211418605.5
16.0,2.4123518467423252e+16,1435511905906530.2
17.0,2.2412089544412416e+16,1488111706057069.5
18.0,2.1095950236026628e+16,1538678818058869.5
19.0,2.3403394423374724e+16,1602386938687219.2
20.0,2.0092240818599816e+16,1648513812892513.0
21.0,1.8326867630030948e+16,1692716546506319.8
22.0,1.726507934536445e+16,1735521465977748.5
23.0,1.6508192898111674e+16,1777045456358911.2
24.0,1.5922891280483234e+16,1817495588445160.5
25.0,1.8207794444987492e+16,1869887432976803.0
26.0,1.5783816365614294e+16,1907669017316672.0
27.0,1.4699600946480944e+16,1944576224828050.2
28.0,1.4079069107961514e+16,1980582118776716.8
29.0,1.358781032735251e+16,2015483689445112.2
30.0,1.5611060551312744e+16,2061119805451305.8
31.0,1.3656475586554258e+16,2094293902399931.2
32.0,1.289121625641981e+16,2127093676197707.2
33.0,1.253360233860171e+16,2159562081507720.5
34.0,1.237284669607628e+16,2191965803593952.5
35.0,1.449748464763453e+16,2235264584358595.2
36.0,1.3007025364486092e+16,2267908663722142.0
37.0,1.2582865367799332e+16,2300980144606133.5
38.0,1.2449607787648986e+16,2334211215356555.5
39.0,1.239564157587753e+16,2367507071478874.0
40.0,1.4542115464410726e+16,2411889393903734.5
41.0,1.2909236311062768e+16,2444646370401736.0
42.0,1.2325849194809714e+16,2477169808699344.5
43.0,1.201733134951076e+16,2509168340958806.0
44.0,1.1775614383235082e+16,2540510227859434.0
45.0,1.3456576754710922e+16,2581050762408575.5
46.0,1.179417792501271e+16,2610317052049915.0
47.0,1.1057939945329272e+16,2638482049725340.5
48.0,1.0000451576454912e+16,2662349662363872.0
49.0,1.0000433828626216e+16,2687963248574179.0
50.0,1.1704158350419422e+16,2722619405633526.0
51.0,9999847039764268.0,2745513607464886.5
52.0,8744032411889956.0,2764487688999863.5
53.0,8207758825582798.0,2782650343172922.0
54.0,7656392235094766.0,2798734733192639.5
55.0,7113686474525498.0,2812793727610861.5
56.0,7207040636308267.0,2828218478227648.5
57.0,6012587105954412.0,2837053862329420.5
58.0,5283518771860337.0,2843875247246511.0
