t(s),incident,permeation
1.0,0.0,205245296712103.84
2.0,1.7136729321914696e+16,250893834067220.84
3.0,2.2159325356132756e+16,282914995585289.0
4.0,2.37915878620359e+16,312260902090830.75
5.0,2.659313982741534e+16,348249156164196.56
6.0,3.007113769066305e+16,391521457100379.0
7.0,3.390168006451822e+16,442769853552817.06
8.0,4.474379401105839e+16,524301952825230.56
9.0,4.525415886645012e+16,594384386436028.5
10.0,4.59516894916945e+16,670624290524300.2
11.0,4.626599246817067e+16,751668418584720.0
12.0,4.601404081605163e+16,836163519280631.8
13.0,5.303804729982778e+16,951853265889718.2
14.0,4.696808314221576e+16,1039134880221617.9
15.0,4.294968471254872e+16,1125304481176580.5
16.0,3.986331138048303e+16,1209618632006814.0
17.0,3.710637058420284e+16,1290984311983026.2
18.0,4.032082910772255e+16,1393163380075503.5
19.0,3.3460394624779148e+16,1463994001701860.0
20.0,2.420000623767598e+16,1507865083850016.0
21.0,0.0,1462371344372354.2
22.0,0.0,1456456979508663.0
23.0,0.0,1450816983103719.2
24.0,0.0,1445210674871301.2
25.0,0.0,1439636782101101.2
26.0,0.0,1434095052183589.0
27.0,0.0,1428585240791514.5
28.0,0.0,1423107099456488.2
29.0,0.0,1417660389372779.8
30.0,0.0,1412244866213139.0
31.0,0.0,1406860296693355.5
32.0,0.0,1401506446148838.8
33.0,0.0,1396183077154238.8
34.0,0.0,1390889961946864.8
35.0,0.0,1385626870003265.8
36.0,0.0,1380393576321511.0
37.0,0.0,1375189857280050.0
38.0,0.0,1370015487876951.8
39.0,0.0,1364870250012185.2
40.0,0.0,1359753924205339.0
41.0,0.0,1354666295117142.2
42.0,0.0,1349607147408323.5
43.0,0.0,1344576271261131.5
44.0,0.0,1339573455477435.2
45.0,0.0,1334598491619862.2
46.0,0.0,1329651172631421.8
47.0,0.0,1324731294215881.8
48.0,0.0,1319838657598530.5
49.0,0.0,1314973057102756.5
50.0,0.0,1310134295334227.5
51.0,0.0,1305322179039751.5
52.0,0.0,1300536508064236.8
53.0,0.0,1295777090534871.0
54.0,0.0,1291043735959222.2
55.0,0.0,1286336255225237.8
56.0,0.0,1281654457840485.5
57.0,0.0,1276998158834053.2
58.0,0.0,1272367174615408.2
59.0,0.0,1267761318833258.2
60.0,0.0,1263180412038210.5
61.0,0.0,1258624273400492.2
62.0,0.0,1254092727611850.8
63.0,0.0,1249585593842513.2
64.0,0.0,1245102700925367.0
65.0,0.0,1240643873552159.2
66.0,0.0,1236208940555776.8
67.0,0.0,1231797729388726.2
68.0,0.0,1227410075785795.0
69.0,0.0,1223045807199489.5
70.0,0.0,1218704762125356.8
71.0,0.0,1214386774917803.8
72.0,0.0,1210091679931236.5
73.0,0.0,1205819318421962.0
74.0,0.0,1201569528885526.5
75.0,0.0,1197342156719376.8
76.0,0.0,1193137039038679.2
77.0,0.0,1188954021240880.0
78.0,0.0,1184792951484185.5
79.0,0.0,1180653675166041.8
80.0,0.0,1176536039064275.5
81.0,0.0,1172439895478232.2
82.0,0.0,1168365091185738.5
83.0,0.0,1164311482627280.5
84.0,0.0,1160278920721823.5
85.0,0.0,1156267257768714.0
86.0,0.0,1152276355729957.8
87.0,0.0,1148306066904900.5
88.0,0.0,1144356250494788.2
89.0,0.0,1140426767081246.5
90.0,0.0,1136517477245900.8
91.0,0.0,1132628242950757.0
92.0,0.0,1128758924777441.0
93.0,0.0,1124909391589857.6
94.0,0.0,1121079505350012.9
95.0,0.0,1117269133541432.1
96.0,0.0,1113478143647640.6
97.0,0.0,1109706405912923.8
98.0,0.0,1105953787820807.0
99.0,0.0,1102220163756715.2
100.0,0.0,1098505401204174.2
101.0,0.0,1094809377309368.8
102.0,0.0,1091131965077344.1
103.0,0.0,1087473038893525.2
104.0,0.0,1083832477284477.2
105.0,0.0,1080210156016005.1
106.0,0.0,1076605952234293.9
107.0,0.0,1073019748607048.4
108.0,0.0,1069451423660833.6
109.0,0.0,1065900858682974.5
110.0,0.0,1062367934960795.5
111.0,0.0,1058852539303141.5
112.0,0.0,1055354551616957.2
113.0,0.0,1051873861471847.5
114.0,0.0,1048410351535516.9
115.0,0.0,1044963909997190.0
116.0,0.0,1041534427806851.5
117.0,0.0,1038121790392965.5
118.0,0.0,1034725888705517.0
119.0,0.0,1031346613694490.1
120.0,0.0,1027983857690249.4
121.0,0.0,1024637511642779.1
122.0,0.0,1021307470643203.9
123.0,0.0,1017993628402267.8
124.0,0.0,1014695878630715.2
125.0,0.0,1011414119180430.4
126.0,0.0,1008148247903297.4
127.0,0.0,1004898158510060.5
128.0,0.0,1001663754374123.9
129.0,0.0,998444929206231.6
130.0,0.0,995241587760167.8
131.0,0.0,992053630648576.5
132.0,0.0,988880955723341.6
133.0,0.0,985723470499007.1
134.0,0.0,982581074207837.1
135.0,0.0,979453672983995.4
136.0,0.0,976341170200885.9
137.0,0.0,973243474753432.4
138.0,0.0,970160488634658.8
