t(s),incident,permeation
1.0,0.0,400403362767013.2
2.0,1.492725725247347e+16,443503940987250.94
3.0,1.6261615054821832e+16,466604412993597.06
4.0,2.169307424778148e+16,504861008158168.75
5.0,2.3951394163953376e+16,542187869117367.8
6.0,2.727207675597794e+16,587521184979113.9
7.0,3.11335964368887e+16,641483989540801.1
8.0,3.523681668346624e+16,704706171566624.0
9.0,3.941833554505156e+16,777897853024624.1
10.0,5.1277541410960744e+16,889619733375454.8
11.0,4.985231347391031e+16,981242991866382.5
12.0,4.926814624188643e+16,1076999078920736.9
13.0,4.850581698531871e+16,1174571728036047.0
14.0,4.716202325826688e+16,1271476930319464.5
15.0,5.260752953689135e+16,1396293540678852.5
16.0,4.48505542567108e+16,1483081321325137.5
17.0,3.977193674242555e+16,1562792549680601.2
18.0,3.591402784331785e+16,1635378676402244.0
19.0,3.2727920581982644e+16,1701050415108090.5
20.0,2.996663547642294e+16,1760076302151625.8
21.0,0.0,1688225160111380.0
22.0,0.0,1665657324270865.8
23.0,0.0,1643823849180014.2
24.0,0.0,1622417159960152.2
25.0,0.0,1601425029205739.0
26.0,0.0,1580836834893107.8
27.0,0.0,1560642293191678.0
28.0,0.0,1540831451562055.8
29.0,0.0,1521394663909194.2
30.0,0.0,1502322585060875.0
31.0,0.0,1483606165246187.2
32.0,0.0,1465236626629068.8
33.0,0.0,1447205463308306.5
34.0,0.0,1429504427513737.5
35.0,0.0,1412125524084727.5
36.0,0.0,1395060991144852.8
37.0,0.0,1378303305623421.0
38.0,0.0,1361845165310529.5
39.0,0.0,1345679483335547.5
40.0,0.0,1329799381265215.8
41.0,0.0,1314198182201746.5
42.0,0.0,1298869402500544.2
43.0,0.0,1283806743487926.0
44.0,0.0,1269004091461120.8
45.0,0.0,1254455503884471.8
46.0,0.0,1240155209389433.8
47.0,0.0,1226097593970776.0
48.0,0.0,1212277209268860.8
49.0,0.0,1198688754624704.0
50.0,0.0,1185327072938836.5
51.0,0.0,1172187156192822.5
52.0,0.0,1159264128884700.8
53.0,0.0,1146553252170124.2
54.0,0.0,1134049911438942.0
55.0,0.0,1121749620456336.4
56.0,0.0,1109648011700165.9
57.0,0.0,1097740836360963.6
58.0,0.0,1086023954679278.8
59.0,0.0,1074493338706435.2
60.0,0.0,1063145069543773.2
61.0,0.0,1051975323538848.5
62.0,0.0,1040980381948093.0
63.0,0.0,1030156621274154.2
64.0,0.0,1019500510505136.4
65.0,0.0,1009008609734220.0
66.0,0.0,998677567398901.5
67.0,0.0,988504114759474.4
68.0,0.0,978485065899028.5
69.0,0.0,968617319103830.4
70.0,0.0,958897843059523.9
71.0,0.0,949323689274549.0
72.0,0.0,939891976895963.6
73.0,0.0,930599898230961.9
74.0,0.0,921444711844975.8
75.0,0.0,912423748083194.5
76.0,0.0,903534399407903.9
77.0,0.0,894774116257348.2
78.0,0.0,886140420849528.8
79.0,0.0,877630886476504.1
80.0,0.0,869243144406291.1
81.0,0.0,860974888024004.1
82.0,0.0,852823859028054.8
83.0,0.0,844787854332053.0
84.0,0.0,836864723304047.0
85.0,0.0,829052362245002.1
86.0,0.0,821348721290702.2
87.0,0.0,813751793368709.0
88.0,0.0,806259619719882.6
89.0,0.0,798870284376860.9
90.0,0.0,791581914164060.6
91.0,0.0,784392682838816.0
92.0,0.0,777300802809100.0
93.0,0.0,770304523753144.2
94.0,0.0,763402138140958.0
95.0,0.0,756591977093189.8
96.0,0.0,749872403479226.0
97.0,0.0,743241821579852.1
98.0,0.0,736698667424591.5
99.0,0.0,730241414313226.9
100.0,0.0,723868564533519.0
101.0,0.0,717578657643487.6
102.0,0.0,711370258047991.2
103.0,0.0,705241968112336.9
104.0,0.0,699192417119240.5
105.0,0.0,693220261268826.9
106.0,0.0,687324189200149.5
107.0,0.0,681502915089290.9
108.0,0.0,675755180029742.2
