t(s),incident,permeation
1.0,0.0,602400502617801.4
2.0,1.4356259085366954e+16,647590164409377.5
3.0,1.412864345335205e+16,668767506262355.4
4.0,1.3757331685414688e+16,689125610563692.9
5.0,1.5042191488276712e+16,714779468668666.9
6.0,1.7221235263056022e+16,746270544963039.2
7.0,1.987130338986619e+16,784002896671836.9
8.0,2.6816638807465856e+16,843036473812038.4
9.0,2.705589540346293e+16,892710740882080.9
10.0,2.775020197413016e+16,945653018818169.2
11.0,2.8309584983144704e+16,1000751709737729.5
12.0,2.8510568682095164e+16,1056891822784286.4
13.0,3.2977127419199644e+16,1131432719347987.0
14.0,2.93302207538874e+16,1185705512382678.8
15.0,2.6932250752839452e+16,1237306281874292.0
16.0,2.4991726894713572e+16,1285752221992582.8
17.0,2.339519619580415e+16,1331418453748007.8
18.0,2.544094384409903e+16,1388824315846590.0
19.0,2.2229753201707404e+16,1429891945716469.2
20.0,2.0706749729213124e+16,1470021844839961.8
21.0,1.985188317163e+16,1509236753596260.5
22.0,1.9426877026063628e+16,1548212903555218.8
23.0,2.222653490551138e+16,1600377456105713.5
24.0,2.0564641128319736e+16,1640899695099081.2
25.0,2.006298956669848e+16,1682045669813044.5
26.0,1.993960876697044e+16,1723617134221230.5
27.0,1.993017214242697e+16,1765478726885981.0
28.0,2.28522589099462e+16,1820863208908322.8
29.0,2.081518108674074e+16,1862299008195263.0
30.0,1.986156258430699e+16,1902694595948417.0
31.0,1.924774268601897e+16,1941843751686478.0
32.0,1.8731621517123784e+16,1979589807807356.8
33.0,2.0679409196664492e+16,2027432902875119.5
34.0,1.8423455077766904e+16,2061363459075926.2
35.0,1.7396927981139454e+16,2093972217277474.0
36.0,1.6881638815732744e+16,2125714226630100.2
37.0,1.6505329813521848e+16,2156391924395503.0
38.0,1.8324160171747176e+16,2196469087483627.0
39.0,1.6798209665412574e+16,2226025873942976.2
40.0,1.6245699635290726e+16,2255215731946833.5
41.0,1.6120876509173798e+16,2284582678893667.5
42.0,1.6100590177834468e+16,2313932703762771.0
43.0,1.7952944495353432e+16,2352440461818856.5
44.0,1.6702976411746468e+16,2381543804509743.5
45.0,1.6116447177922058e+16,2409568352667038.5
46.0,1.586588250984257e+16,2437146935954405.5
47.0,1.5695011698792828e+16,2464122373268418.0
48.0,1.7161659133696126e+16,2498704434293147.5
49.0,1.5768795517293368e+16,2523618841497416.5
50.0,1.5132886099639098e+16,2547356291209157.5
51.0,1.4737018491913266e+16,2569941483947084.0
52.0,1.4434838031199738e+16,2591455951852569.0
53.0,1.5442095698393448e+16,2618528548589298.0
54.0,1.4245730272920508e+16,2637578722188291.0
55.0,1.3687198436361332e+16,2655493733438691.0
56.0,1.3416798629748408e+16,2672764906495376.0
57.0,1.3302958824265518e+16,2689738541415958.0
58.0,1.4228796121921872e+16,2711612598296774.5
59.0,1.3393515303376444e+16,2727429231877675.5
60.0,1.2071828714494966e+16,2737483103582961.0
61.0,0.0,2686069878032017.0
62.0,0.0,2654825739976341.0
63.0,0.0,2624238063688965.5
64.0,0.0,2594175477030269.5
65.0,0.0,2564625562102280.5
66.0,0.0,2535576743038789.5
67.0,0.0,2507017771123635.5
68.0,0.0,2478937706845765.5
69.0,0.0,2451325917138472.5
70.0,0.0,2424172061575599.0
71.0,0.0,2397466085469634.5
72.0,0.0,2371198201926779.0
73.0,0.0,2345358898748840.0
74.0,0.0,2319938910825635.5
75.0,0.0,2294929229797653.0
76.0,0.0,2270321080589590.5
77.0,0.0,2246105928312256.2
78.0,0.0,2222275460317629.5
79.0,0.0,2198821577916580.2
80.0,0.0,2175736400520010.2
81.0,0.0,2153012251835052.5
82.0,0.0,2130641648822032.2
83.0,0.0,2108617308596366.8
84.0,0.0,2086932126342485.5
85.0,0.0,2065579186356871.2
86.0,0.0,2044551742722738.5
87.0,0.0,2023843222070796.0
88.0,0.0,2003447216677344.2
89.0,0.0,1983357474801619.5
90.0,0.0,1963567904826929.2
91.0,0.0,1944072562837236.5
92.0,0.0,1924865651236777.8
93.0,0.0,1905941518750063.0
94.0,0.0,1887294643857318.0
95.0,0.0,1868919644457142.8
96.0,0.0,1850811268203850.2
97.0,0.0,1832964388366330.8
98.0,0.0,1815373998306528.0
99.0,0.0,1798035212859821.0
100.0,0.0,1780943262813505.2
101.0,0.0,1764093488004890.0
102.0,0.0,1747481344223200.8
103.0,0.0,1731102385264639.5
104.0,0.0,1714952275355802.0
105.0,0.0,1699026773969502.2
106.0,0.0,1683321738585528.8
107.0,0.0,1667833127451406.8
108.0,0.0,1652556983017837.2
109.0,0.0,1637489442981738.0
110.0,0.0,1622626729243203.0
111.0,0.0,1607965152046643.2
112.0,0.0,1593501101698505.5
113.0,0.0,1579231049947653.8
114.0,0.0,1565151545844229.0
115.0,0.0,1551259215739648.5
116.0,0.0,1537550760525847.2
117.0,0.0,1524022954254896.5
118.0,0.0,1510672638617485.5
119.0,0.0,1497496725703679.8
120.0,0.0,1484492193861782.8
121.0,0.0,1471656087698335.0
122.0,0.0,1458985515317354.8
123.0,0.0,1446477642798817.0
124.0,0.0,1434129702480935.5
125.0,0.0,1421938979156360.0
126.0,0.0,1409902819734839.8
127.0,0.0,1398018626341320.0
128.0,0.0,1386283852174805.0
129.0,0.0,1374696004269116.0
130.0,0.0,1363252644873273.2
