t(s),incident,permeation
1.0,0.0,606613680336990.2
2.0,1.2404183612269552e+16,647544968009261.2
3.0,1.2480061500946656e+16,668729877795280.4
4.0,1.2228868381765292e+16,689095241514741.8
5.0,1.353446723496442e+16,714720753517572.1
6.0,1.5698179441688504e+16,746213481436547.1
7.0,1.8314811118326104e+16,784002332096439.9
8.0,2.5163458423296028e+16,843041296859561.6
9.0,2.5300283829651324e+16,892715141533341.4
10.0,2.5887642068563864e+16,945659075925362.1
11.0,2.633434889257313e+16,1000757047666971.8
12.0,2.6420739565488884e+16,1056900902923555.9
13.0,3.0747655649567716e+16,1131443102565923.5
14.0,2.6974089267402132e+16,1185708759036306.2
15.0,2.4462358468105532e+16,1237310425774883.0
16.0,2.2414901842000748e+16,1285754836432196.0
17.0,2.0769668172450428e+16,1331633493476775.5
18.0,2.2621784768448988e+16,1388828066338897.0
19.0,1.9384930307076772e+16,1430113151602445.2
20.0,1.769848509119112e+16,1470025293029061.2
21.0,1.6772544085882482e+16,1509198254799631.0
22.0,1.6249708698578756e+16,1548041532145969.8
23.0,1.907319188316403e+16,1600638197453656.8
24.0,1.7183160900141806e+16,1640778870442610.2
25.0,1.6604653860239124e+16,1681809664873692.2
26.0,1.6481887382584322e+16,1723643369722440.2
27.0,1.6343540678527802e+16,1765434643072099.2
28.0,1.919370981005195e+16,1820968997086067.2
29.0,1.6989818975577836e+16,1862157451612417.5
30.0,1.5971703649990374e+16,1902528515535492.2
31.0,1.527956222747957e+16,1941638966800311.8
32.0,1.4666068416763906e+16,1979254390665219.5
33.0,1.6572958500727846e+16,2027240444781850.5
34.0,1.420826291621354e+16,2061081773223097.2
35.0,1.314599161035327e+16,2093821410768626.0
36.0,1.2537571388804054e+16,2125513258494478.5
37.0,1.2105948601204344e+16,2156228361795595.2
38.0,1.385021926375033e+16,2196339580237310.0
39.0,1.2228564299766988e+16,2225781081504902.2
40.0,1.1649784040045522e+16,2255081738465700.0
41.0,1.1439096187988278e+16,2284378776070285.5
42.0,1.1345097236302622e+16,2313633779725205.0
43.0,1.3175645783802056e+16,2352327205785617.0
44.0,1.1770444759776534e+16,2381073769954738.0
45.0,1.121487073015083e+16,2409348652775581.0
46.0,1.0899526242356232e+16,2436996554602580.5
47.0,1.0659635390145264e+16,2463987613676415.0
48.0,1.2067773789517356e+16,2498648287338937.5
49.0,1.0589968976453222e+16,2523480030490279.0
50.0,1e+16,2547684283287577.5
51.0,9999529800630830.0,2572882370993694.5
52.0,8721226912205234.0,2591451393837995.0
53.0,1e+16,2618773197467857.5
54.0,8746573871170990.0,2637481446813659.0
55.0,8241885620333120.0,2655559620353783.0
56.0,7952353263396710.0,2672935489707677.0
57.0,7747927122915776.0,2689694101464051.0
58.0,8641827990002274.0,2711496460030212.0
59.0,7808276712462051.0,2727422093932986.5
60.0,6458184683884119.0,2737507360999711.5
61.0,0.0,2715491185721412.5
62.0,0.0,2704049881711305.5
63.0,0.0,2692743906009738.0
64.0,0.0,2681508906684115.5
65.0,0.0,2670344027898872.5
66.0,0.0,2659248685753292.5
67.0,0.0,2648222304628939.5
68.0,0.0,2637264313048516.5
69.0,0.0,2626374149197386.5
70.0,0.0,2615551251260913.0
71.0,0.0,2604795069847877.0
72.0,0.0,2594105058327822.5
73.0,0.0,2583480672831050.5
74.0,0.0,2572921377770143.5
75.0,0.0,2562426645839962.0
76.0,0.0,2551995948354989.0
77.0,0.0,2541628766292364.5
78.0,0.0,2531324588911510.5
79.0,0.0,2521082902711087.0
80.0,0.0,2510903205232794.5
81.0,0.0,2500784996779093.5
82.0,0.0,2490727787315104.0
83.0,0.0,2480731081284427.0
84.0,0.0,2470794398314841.0
85.0,0.0,2460917259414506.0
86.0,0.0,2451089416642720.5
87.0,0.0,2441330061421840.5
88.0,0.0,2431628838141529.5
89.0,0.0,2421985287135265.5
90.0,0.0,2412398952877668.0
91.0,0.0,2402869382604114.0
92.0,0.0,2393396129071503.0
93.0,0.0,2383978749177873.5
94.0,0.0,2374616806723161.5
95.0,0.0,2365309866887686.0
96.0,0.0,2356057498992904.5
97.0,0.0,2346859276501414.0
98.0,0.0,2337714779777711.5
99.0,0.0,2328623593327435.0
100.0,0.0,2319585298895460.5
101.0,0.0,2310599490650085.0
102.0,0.0,2301665762759605.0
103.0,0.0,2292783712153076.5
104.0,0.0,2283952942661456.5
105.0,0.0,2275173060876460.5
106.0,0.0,2266443676150564.5
107.0,0.0,2257764400597004.0
108.0,0.0,2249134853230915.2
109.0,0.0,2240554655828193.2
110.0,0.0,2232023431545113.8
111.0,0.0,2223540809059471.2
112.0,0.0,2215106419809821.2
113.0,0.0,2206719899375858.5
114.0,0.0,2198380887478417.5
115.0,0.0,2190089023838333.2
116.0,0.0,2181843955078340.5
117.0,0.0,2173645329201552.8
118.0,0.0,2165492799732604.8
119.0,0.0,2157386018815750.2
120.0,0.0,2149324651018663.2
121.0,0.0,2141308349865977.8
122.0,0.0,2133336786827267.8
123.0,0.0,2125409626470206.0
124.0,0.0,2117526541644746.0
125.0,0.0,2109687203820461.8
126.0,0.0,2101891292749205.8
127.0,0.0,2094138486802451.2
128.0,0.0,2086428471253571.5
129.0,0.0,2078760925854419.2
130.0,0.0,2071135548301786.8
131.0,0.0,2063552022488666.8
132.0,0.0,2056010046111851.8
133.0,0.0,2048509316868134.2
134.0,0.0,2041049532454306.5
135.0,0.0,2033630397469060.8
136.0,0.0,2026251617891468.5
137.0,0.0,2018912899700602.0
138.0,0.0,2011613953016673.0
139.0,0.0,2004354493481413.2
140.0,0.0,1997134235356174.2
141.0,0.0,1989952898423827.5
142.0,0.0,1982810201086865.0
143.0,0.0,1975705870030056.8
144.0,0.0,1968639629177415.0
145.0,0.0,1961611205213710.2
146.0,0.0,1954620331725614.0
147.0,0.0,1947666742299796.5
148.0,0.0,1940750169142549.2
149.0,0.0,1933870352742442.8
150.0,0.0,1927027032207667.0
151.0,0.0,1920219949407173.0
152.0,0.0,1913448850351051.2
153.0,0.0,1906713481049392.0
154.0,0.0,1900013591653425.2
155.0,0.0,1893348932314381.2
156.0,0.0,1886719257324630.2
157.0,0.0,1880124322356922.5
158.0,0.0,1873563884464387.0
159.0,0.0,1867037704841294.0
160.0,0.0,1860545546062293.0
161.0,0.0,1854087167941274.2
162.0,0.0,1847662341335166.8
163.0,0.0,1841270832959760.0
164.0,0.0,1834912410911223.5
165.0,0.0,1828586850187626.8
166.0,0.0,1822293923026278.5
167.0,0.0,1816033407186008.2
168.0,0.0,1809805077664884.8
169.0,0.0,1803608717743257.2
170.0,0.0,1797444107940714.5
171.0,0.0,1791311028776845.5
172.0,0.0,1785209270433898.8
173.0,0.0,1779138616192223.5
174.0,0.0,1773098857614447.8
175.0,0.0,1767089784882820.0
176.0,0.0,1761111188179589.0
177.0,0.0,1755162865969283.0
178.0,0.0,1749244612575290.5
179.0,0.0,1743356225081759.5
180.0,0.0,1737497503333598.5
181.0,0.0,1731668248556095.8
182.0,0.0,1725868261974538.8
183.0,0.0,1720097351716115.5
184.0,0.0,1714355320386494.0
185.0,0.0,1708641977493242.5
186.0,0.0,1702957131163548.5
187.0,0.0,1697300593665739.5
188.0,0.0,1691672177268143.5
189.0,0.0,1686071694239087.8
190.0,0.0,1680498962368420.5
191.0,0.0,1674953796685228.2
192.0,0.0,1669436016359739.0
193.0,0.0,1663945441942559.8
194.0,0.0,1658481895364678.0
195.0,0.0,1653045199937461.0
196.0,0.0,1647635177591895.8
197.0,0.0,1642251655780489.8
198.0,0.0,1636894463336129.5
199.0,0.0,1631563424950562.2
200.0,0.0,1626258373597815.0
201.0,0.0,1620979142251914.2
202.0,0.0,1615725559745747.5
203.0,0.0,1610497463194481.0
204.0,0.0,1605294685572141.5
205.0,0.0,1600117066754655.8
206.0,0.0,1594964442476810.5
207.0,0.0,1589836652614532.0
208.0,0.0,1584733539804506.8
209.0,0.0,1579654943922661.5
210.0,0.0,1574600707605682.5
211.0,0.0,1569570679011776.2
212.0,0.0,1564564698016868.8
213.0,0.0,1559582618300686.0
214.0,0.0,1554624282499915.0
215.0,0.0,1549689544294281.2
216.0,0.0,1544778250461611.2
217.0,0.0,1539890256062010.5
218.0,0.0,1535025410634065.5
219.0,0.0,1530183571998642.0
220.0,0.0,1525364593835466.0
221.0,0.0,1520568331204643.2
222.0,0.0,1515794641927040.0
223.0,0.0,1511043386584281.2
224.0,0.0,1506314422997233.2
225.0,0.0,1501607611747521.5
226.0,0.0,1496922817557911.5
227.0,0.0,1492259901010029.2
228.0,0.0,1487618725446260.0
229.0,0.0,1482999158350129.2
230.0,0.0,1478401064444402.5
231.0,0.0,1473824311212605.2
232.0,0.0,1469268766138262.8
233.0,0.0,1464734299465660.5
234.0,0.0,1460220780058703.8
235.0,0.0,1455728079542057.5
236.0,0.0,1451256072301147.2
237.0,0.0,1446804629960638.0
238.0,0.0,1442373625525575.2
239.0,0.0,1437962934761763.8
240.0,0.0,1433572434815388.5
241.0,0.0,1429202001452254.5
242.0,0.0,1424851514579307.0
243.0,0.0,1420520849962350.8
244.0,0.0,1416209890269091.0
245.0,0.0,1411918514026092.0
246.0,0.0,1407646603901059.0
247.0,0.0,1403394042561696.8
248.0,0.0,1399160712675710.0
249.0,0.0,1394946498291183.5
250.0,0.0,1390751287597341.8
251.0,0.0,1386574961881509.5
252.0,0.0,1382417410713291.5
253.0,0.0,1378278520901532.0
254.0,0.0,1374158182015835.8
255.0,0.0,1370056282245427.5
256.0,0.0,1365972713920671.5
257.0,0.0,1361907363850412.2
258.0,0.0,1357860127125774.0
259.0,0.0,1353830896077121.2
260.0,0.0,1349819563034818.2
261.0,0.0,1345826023089989.5
262.0,0.0,1341850171333759.5
263.0,0.0,1337891904237631.8
264.0,0.0,1333951114131971.2
265.0,0.0,1330027703009801.8
266.0,0.0,1326121565962247.5
267.0,0.0,1322232604982332.5
268.0,0.0,1318360715161181.5
269.0,0.0,1314505801252577.8
270.0,0.0,1310667759728025.5
271.0,0.0,1306846498102069.0
272.0,0.0,1303041911465832.0
273.0,0.0,1299253910094618.8
274.0,0.0,1295482391840312.8
275.0,0.0,1291727265597838.5
276.0,0.0,1287988434740599.2
277.0,0.0,1284265804022379.2
278.0,0.0,1280559282338101.8
279.0,0.0,1276868774441551.2
280.0,0.0,1273194190608031.2
281.0,0.0,1269535438352085.2
282.0,0.0,1265892426568637.2
283.0,0.0,1262265066913370.8
284.0,0.0,1258653266900829.5
285.0,0.0,1255056939567077.0
286.0,0.0,1251475995187417.0
287.0,0.0,1247910348178292.8
288.0,0.0,1244359912956148.2
289.0,0.0,1240824598415907.0
290.0,0.0,1237304321734772.0
291.0,0.0,1233798998709567.0
292.0,0.0,1230308542376355.8
293.0,0.0,1226832869912341.2
294.0,0.0,1223371899875107.0
295.0,0.0,1219925545300716.5
296.0,0.0,1216493727507513.2
297.0,0.0,1213076362292320.2
298.0,0.0,1209673372353860.8
299.0,0.0,1206284673488958.5
300.0,0.0,1202910187015956.2
301.0,0.0,1199549835633577.2
302.0,0.0,1196203537899405.2
303.0,0.0,1192871215131783.2
304.0,0.0,1189552791409814.0
305.0,0.0,1186248190812600.8
306.0,0.0,1182957333278107.0
307.0,0.0,1179680145646195.8
308.0,0.0,1176416550615589.8
309.0,0.0,1173166473645772.5
310.0,0.0,1169929840196226.8
311.0,0.0,1166706575726435.8
312.0,0.0,1163496608456642.2
313.0,0.0,1160299862465949.2
314.0,0.0,1157116270115739.8
315.0,0.0,1153945754104736.8
316.0,0.0,1150788245413943.2
317.0,0.0,1147643672263602.0
318.0,0.0,1144511965634716.0
319.0,0.0,1141393053747528.0
320.0,0.0,1138286867583041.0
321.0,0.0,1135193338122257.5
322.0,0.0,1132112397726560.2
323.0,0.0,1129043974616192.8
324.0,0.0,1125988006674057.0
325.0,0.0,1122944422120396.0
326.0,0.0,1119913156077352.5
327.0,0.0,1116894142286689.5
328.0,0.0,1113887311729409.2
329.0,0.0,1110892603668794.4
330.0,0.0,1107909951846607.8
331.0,0.0,1104939288624232.1
332.0,0.0,1101980553264949.9
333.0,0.0,1099033679510523.8
334.0,0.0,1096098605243856.4
335.0,0.0,1093175268347850.0
336.0,0.0,1090263606705407.6
337.0,0.0,1087363555438671.5
338.0,0.0,1084475055191304.1
339.0,0.0,1081598043846208.0
340.0,0.0,1078732462047045.8
341.0,0.0,1075878246296339.8
342.0,0.0,1073035338618132.5
343.0,0.0,1070203679656086.2
344.0,0.0,1067383211434243.8
345.0,0.0,1064573871835507.1
346.0,0.0,1061775602883918.9
347.0,0.0,1058988349364281.2
348.0,0.0,1056212050539876.8
349.0,0.0,1053446651195507.6
350.0,0.0,1050692093355216.2
351.0,0.0,1047948320423424.9
352.0,0.0,1045215277184935.8
353.0,0.0,1042492904283411.6
354.0,0.0,1039781152025174.0
355.0,0.0,1037079961053885.6
356.0,0.0,1034389276154348.6
357.0,0.0,1031709047632885.0
358.0,0.0,1029039216133157.4
359.0,0.0,1026379730581107.6
360.0,0.0,1023730535761538.0
361.0,0.0,1021091581980770.8
362.0,0.0,1018462812643228.0
363.0,0.0,1015844179435611.9
364.0,0.0,1013235628523104.2
365.0,0.0,1010637106070887.6
366.0,0.0,1008048563765663.9
367.0,0.0,1005469949152995.1
368.0,0.0,1002901212539203.4
369.0,0.0,1000342300089470.9
370.0,0.0,997793167631639.4
371.0,0.0,995253761330891.1
372.0,0.0,992724032873928.1
373.0,0.0,990203932567072.5
374.0,0.0,987693413477405.9
375.0,0.0,985192424530870.5
376.0,0.0,982700920174928.1
377.0,0.0,980218849335521.0
378.0,0.0,977746167840490.9
379.0,0.0,975282825996159.6
380.0,0.0,972828778249989.4
381.0,0.0,970383977669061.8
382.0,0.0,967948377320459.0
383.0,0.0,965521930271262.9
384.0,0.0,963104592349315.0
385.0,0.0,960696319382457.4
386.0,0.0,958297063057391.9
387.0,0.0,955906777821580.5
388.0,0.0,953525423644004.8
389.0,0.0,951152952211366.6
390.0,0.0,948789319351508.0
391.0,0.0,946434483653030.4
392.0,0.0,944088399563395.9
393.0,0.0,941751024290826.2
394.0,0.0,939422316423922.9
395.0,0.0,937102230410147.8
396.0,0.0,934790726218482.5
397.0,0.0,932487759676769.0
398.0,0.0,930193287993229.0
399.0,0.0,927907273897604.0
400.0,0.0,925629670456975.9
401.0,0.0,923360441781466.1
402.0,0.0,921099542318536.5
403.0,0.0,918846933417548.8
404.0,0.0,916602573667104.8
405.0,0.0,914366424416565.5
406.0,0.0,912138444254533.0
407.0,0.0,909918594530369.0
408.0,0.0,907706835213054.8
409.0,0.0,905503127651952.1
410.0,0.0,903307430435662.8
411.0,0.0,901119707674308.1
412.0,0.0,898939919336869.8
413.0,0.0,896768029533469.1
414.0,0.0,894603994091948.1
415.0,0.0,892447782643948.0
416.0,0.0,890299352397690.6
417.0,0.0,888158668843677.0
418.0,0.0,886025693331268.9
419.0,0.0,883900388590208.0
420.0,0.0,881782718730615.5
421.0,0.0,879672647862613.1
422.0,0.0,877570137335562.4
423.0,0.0,875475154020344.4
424.0,0.0,873387660646701.0
425.0,0.0,871307619944373.6
426.0,0.0,869235000164623.4
427.0,0.0,867169761276432.1
428.0,0.0,865111874291821.1
429.0,0.0,863061297799391.8
430.0,0.0,861018002811165.2
431.0,0.0,858981952056883.4
432.0,0.0,856953112407427.2
433.0,0.0,854931447972918.4
434.0,0.0,852916927004618.1
435.0,0.0,850909514993027.9
436.0,0.0,848909178809029.0
437.0,0.0,846915885323502.8
438.0,0.0,844929601407330.6
439.0,0.0,842950293931394.0
440.0,0.0,840977931146954.1
441.0,0.0,839012478544512.1
