t(s),incident,permeation
1.0,0.0,681834691479326.5
2.0,1028806888918434.9,684054434224045.0
3.0,5637171214886281.0,700675898331113.8
4.0,1.1636104382408394e+16,730897669024535.9
5.0,1.3896610273473718e+16,759550742820830.8
6.0,1.6105609165582218e+16,792757667965277.2
7.0,1.8033108582318212e+16,829853276633269.9
8.0,1.964588795904899e+16,870371095650057.9
9.0,2.4900546012401292e+16,928654901478905.5
10.0,2.3729594443913628e+16,975192132273099.4
11.0,2.3393432508867412e+16,1023459220703226.0
12.0,2.331687896291767e+16,1073104753784360.8
13.0,2.3291160396590132e+16,1123873963072576.6
14.0,2.754048830967071e+16,1192863997125057.5
15.0,2.4804420610851948e+16,1245279094156851.5
16.0,2.35105331559861e+16,1297972819499899.0
17.0,2.2753733742357656e+16,1350694492015286.8
18.0,2.2177975831939892e+16,1403194715697828.0
19.0,2.563353664488136e+16,1472406162693276.8
20.0,2.246103403841112e+16,1523409121380017.0
21.0,2.090452621754201e+16,1573602724655134.0
22.0,1.9793478167510092e+16,1622177521860788.0
23.0,1.8914201105291196e+16,1669282288966930.0
24.0,1.806835248981633e+16,1714572959370695.8
25.0,2.022912981531634e+16,1771632228771116.8
26.0,1.7124403707853672e+16,1811509209159807.0
27.0,1.54451210488123e+16,1849041108995081.5
28.0,1.43292485972765e+16,1884434492472854.2
29.0,1.3574984887992966e+16,1918362855249930.8
30.0,1.5228428890278074e+16,1961565700988866.8
31.0,1.324877330260305e+16,1992937740908984.8
32.0,1.2489852136458092e+16,2024066446072249.8
33.0,1.218044356618363e+16,2055110586399404.0
34.0,1.2125192238310498e+16,2086533287643835.5
35.0,1.4418704551328612e+16,2129334237142546.5
36.0,1.3048304275039274e+16,2161920183185145.0
37.0,1.265368697156233e+16,2194930480108512.5
38.0,1.2616114989858152e+16,2228549813086455.5
39.0,1.2642896694836446e+16,2262501843858046.5
40.0,1.5036188484870754e+16,2308500930770433.0
41.0,1.3553694169224084e+16,2343385898228866.0
42.0,1.3130006708944668e+16,2378677627766825.5
43.0,1.2910026764961562e+16,2413695466457498.0
44.0,1.2730270131100828e+16,2448285604085278.0
45.0,1.4621623812825506e+16,2492989327274327.5
46.0,1.2648832156742504e+16,2524634660337217.5
47.0,1.1692520807752608e+16,2554622123958617.5
48.0,1.09471780469588e+16,2582381425207833.0
49.0,1.0000169015340004e+16,2606470973953331.0
50.0,9999684256630398.0,2632129792453633.0
51.0,9999781387328604.0,2657823293000019.5
52.0,8154509073704688.0,2673822244403123.0
53.0,7581287600001427.0,2689786624190536.5
54.0,7163405946198286.0,2704477089978558.0
55.0,6889462819512500.0,2718383459927546.0
56.0,7573937467128533.0,2736350409353707.5
57.0,6887101990059334.0,2749540489106875.0
58.0,6661433850331727.0,2762616949786878.0
59.0,6503410483128184.0,2775201997967687.5
60.0,6375007875989750.0,2787337499192615.5
61.0,0.0,2765606492465743.5
62.0,0.0,2754298894817742.0
63.0,0.0,2743122833574575.0
64.0,0.0,2732014873375930.0
65.0,0.0,2720974203938780.0
