t(s),incident,permeation
1.0,0.0,404532596130876.44
2.0,1.2863205857751656e+16,443442547208875.4
3.0,1.4435599271049624e+16,466540920347517.1
4.0,1.9948954603897404e+16,504862489305848.4
5.0,2.217182243756289e+16,542190821059877.4
6.0,2.540001552605765e+16,587525575277524.8
7.0,2.912417307531919e+16,641492848819279.8
8.0,3.3048429986499516e+16,704717523811281.0
9.0,3.6985562308416376e+16,777817650189135.9
10.0,4.8572611359019256e+16,889618627691119.9
11.0,4.682679628772529e+16,981241774371272.1
12.0,4.591477858328829e+16,1076997664031294.5
13.0,4.4777722881842104e+16,1174407237820817.0
14.0,4.317811052267722e+16,1271527692411513.8
15.0,4.81509696358862e+16,1396097801422457.5
16.0,4.013951408977828e+16,1483105571839988.2
17.0,3.4745794442919468e+16,1562831124398127.5
18.0,3.0608141767063076e+16,1635400494687634.0
19.0,2.718115570162192e+16,1701068308973300.5
20.0,2.420537343133495e+16,1760090862399271.8
21.0,0.0,1714055100172161.2
22.0,0.0,1707514328552683.5
23.0,0.0,1701249309913036.8
24.0,0.0,1695019699399325.5
25.0,0.0,1688824227062001.8
26.0,0.0,1682662640291536.0
27.0,0.0,1676534690619537.8
28.0,0.0,1670440135099137.2
29.0,0.0,1664378732163844.2
30.0,0.0,1658350240247168.8
31.0,0.0,1652354421923760.5
32.0,0.0,1646391043909408.8
33.0,0.0,1640459870159143.2
34.0,0.0,1634560670149513.5
35.0,0.0,1628693216117828.8
36.0,0.0,1622857277540638.2
37.0,0.0,1617052630796391.5
38.0,0.0,1611279053643917.0
39.0,0.0,1605536323842044.2
40.0,0.0,1599824223290741.8
41.0,0.0,1594142531129219.2
42.0,0.0,1588491037539724.5
43.0,0.0,1582869524422227.0
44.0,0.0,1577277781958974.8
45.0,0.0,1571715600332216.8
46.0,0.0,1566182771104581.5
47.0,0.0,1560679089979837.0
48.0,0.0,1555204349900991.8
49.0,0.0,1549758350712954.2
50.0,0.0,1544340890880252.8
51.0,0.0,1538951770247795.0
52.0,0.0,1533590792801629.0
53.0,0.0,1528257763908183.0
54.0,0.0,1522952487553504.8
55.0,0.0,1517674773245162.5
56.0,0.0,1512424430490723.2
57.0,0.0,1507201270178135.2
58.0,0.0,1502005103195346.2
59.0,0.0,1496835747332203.5
60.0,0.0,1491693016237414.5
61.0,0.0,1486576726320447.0
62.0,0.0,1481486699512288.0
63.0,0.0,1476422756363545.0
64.0,0.0,1471384716044445.2
65.0,0.0,1466372404627116.2
66.0,0.0,1461385646803304.5
67.0,0.0,1456424270025517.2
68.0,0.0,1451488101746262.0
69.0,0.0,1446576970798425.0
70.0,0.0,1441690708775654.0
71.0,0.0,1436829147271595.0
72.0,0.0,1431992122021035.2
73.0,0.0,1427179468758761.2
74.0,0.0,1422391021839179.5
75.0,0.0,1417626619757837.2
76.0,0.0,1412886102390660.5
77.0,0.0,1408169309613576.0
78.0,0.0,1403476085443650.0
79.0,0.0,1398806271137189.0
80.0,0.0,1394159712091639.5
81.0,0.0,1389536253704447.5
82.0,0.0,1384935742753439.2
83.0,0.0,1380358030157581.2
84.0,0.0,1375802962694699.2
85.0,0.0,1371270394044519.5
86.0,0.0,1366760173745628.2
87.0,0.0,1362272158238511.0
88.0,0.0,1357806197061754.0
89.0,0.0,1353362150796983.0
90.0,0.0,1348939874504304.0
91.0,0.0,1344539227384962.8
92.0,0.0,1340160065879445.0
93.0,0.0,1335802253330136.5
94.0,0.0,1331465650318662.5
95.0,0.0,1327150118807029.0
96.0,0.0,1322855523518001.5
97.0,0.0,1318581727793965.5
98.0,0.0,1314328600498826.2
99.0,0.0,1310096004974969.5
100.0,0.0,1305883811466680.5
101.0,0.0,1301691888837864.5
102.0,0.0,1297520108713186.8
103.0,0.0,1293368339956553.0
104.0,0.0,1289236454192628.0
105.0,0.0,1285124327187216.8
106.0,0.0,1281031833325744.8
107.0,0.0,1276958846993637.0
108.0,0.0,1272905242576318.5
109.0,0.0,1268870898600354.2
110.0,0.0,1264855696353069.5
111.0,0.0,1260859510219888.5
112.0,0.0,1256882224248896.8
113.0,0.0,1252923715586279.0
114.0,0.0,1248983869660500.0
115.0,0.0,1245062567758884.2
116.0,0.0,1241159693929517.2
117.0,0.0,1237275133600862.8
118.0,0.0,1233408770821006.0
119.0,0.0,1229560493779171.5
120.0,0.0,1225730190664583.8
121.0,0.0,1221917746905707.2
122.0,0.0,1218123053452527.0
123.0,0.0,1214345999874647.0
124.0,0.0,1210586478502431.8
125.0,0.0,1206844378905486.0
126.0,0.0,1203119594794553.8
127.0,0.0,1199412019880379.2
128.0,0.0,1195721546493327.5
129.0,0.0,1192048072485282.2
130.0,0.0,1188391491566987.8
131.0,0.0,1184751700209948.2
132.0,0.0,1181128597646428.0
133.0,0.0,1177522080347931.0
134.0,0.0,1173932047546721.8
135.0,0.0,1170358398475064.2
136.0,0.0,1166801036506362.2
137.0,0.0,1163259859492500.0
138.0,0.0,1159734770806881.5
139.0,0.0,1156225672442530.5
140.0,0.0,1152732469153231.2
141.0,0.0,1149255065692767.2
142.0,0.0,1145793364054163.0
143.0,0.0,1142347273132342.0
144.0,0.0,1138916696300707.8
145.0,0.0,1135501543834564.5
146.0,0.0,1132101719107316.0
147.0,0.0,1128717133774645.8
148.0,0.0,1125347698111857.5
149.0,0.0,1121993318253115.0
150.0,0.0,1118653905854102.0
151.0,0.0,1115329375331262.1
152.0,0.0,1112019632818758.8
153.0,0.0,1108724595493795.5
154.0,0.0,1105444172251296.1
155.0,0.0,1102178281648843.9
156.0,0.0,1098926833961742.4
157.0,0.0,1095689746367195.1
158.0,0.0,1092466933281645.9
159.0,0.0,1089258311882297.4
160.0,0.0,1086063797965973.4
161.0,0.0,1082883310090257.2
162.0,0.0,1079716765432352.4
163.0,0.0,1076564083930221.9
164.0,0.0,1073425181380689.2
165.0,0.0,1070299983243237.8
166.0,0.0,1067188403934310.8
167.0,0.0,1064090368913391.0
168.0,0.0,1061005799498822.0
169.0,0.0,1057934614248187.0
170.0,0.0,1054876737240589.1
171.0,0.0,1051832093935511.4
172.0,0.0,1048800605651297.0
173.0,0.0,1045782199227809.0
174.0,0.0,1042776797363770.4
175.0,0.0,1039784325518664.6
176.0,0.0,1036804711912734.0
177.0,0.0,1033837879244702.1
178.0,0.0,1030883758495571.6
179.0,0.0,1027942273744445.6
180.0,0.0,1025013357352707.0
181.0,0.0,1022096933399458.8
182.0,0.0,1019192931485323.8
183.0,0.0,1016301283971684.9
184.0,0.0,1013421919078784.9
185.0,0.0,1010554767787626.5
186.0,0.0,1007699761079212.9
187.0,0.0,1004856831314926.4
188.0,0.0,1002025908095390.2
189.0,0.0,999206926542747.0
190.0,0.0,996399817637999.2
191.0,0.0,993604516503290.0
192.0,0.0,990820955500001.9
193.0,0.0,988049069750277.4
194.0,0.0,985288795756639.1
195.0,0.0,982540065880470.0
196.0,0.0,979802816624292.5
197.0,0.0,977076984490629.2
198.0,0.0,974362507362382.9
199.0,0.0,971659320361695.9
200.0,0.0,968967361371470.9
201.0,0.0,966286569654990.4
202.0,0.0,963616881714776.9
203.0,0.0,960958238194492.8
204.0,0.0,958310575596660.8
205.0,0.0,955673837325703.0
206.0,0.0,953047959884142.2
207.0,0.0,950432885296020.9
208.0,0.0,947828554205001.1
209.0,0.0,945234908635125.5
210.0,0.0,942651890610436.4
211.0,0.0,940079438013836.4
212.0,0.0,937517498390887.4
213.0,0.0,934966013765631.9
214.0,0.0,932424923401352.4
215.0,0.0,929894174843611.0
216.0,0.0,927373711496830.0
217.0,0.0,924863475385051.8
218.0,0.0,922363415434218.5
219.0,0.0,919873472287992.5
220.0,0.0,917393593491935.9
221.0,0.0,914923726591611.1
222.0,0.0,912463814991440.0
223.0,0.0,910013804856605.0
224.0,0.0,907573646493428.0
225.0,0.0,905143286067091.4
226.0,0.0,902722669742777.4
227.0,0.0,900311745066047.9
228.0,0.0,897910462343225.0
229.0,0.0,895518770500251.0
230.0,0.0,893136614321928.0
231.0,0.0,890763949636097.9
232.0,0.0,888400721227562.8
233.0,0.0,886046880783024.6
234.0,0.0,883702378608805.5
235.0,0.0,881367166391607.5
236.0,0.0,879041194437752.5
237.0,0.0,876724413053562.5
238.0,0.0,874416773925739.6
239.0,0.0,872118231501745.8
240.0,0.0,869828734707522.8
241.0,0.0,867548237990532.6
242.0,0.0,865276694417857.5
243.0,0.0,863014055676198.9
244.0,0.0,860760276213018.9
245.0,0.0,858515311856159.2
246.0,0.0,856279114292322.1
247.0,0.0,854051637968969.1
248.0,0.0,851832840094322.0
249.0,0.0,849622672355083.0
250.0,0.0,847421090579093.6
251.0,0.0,845228051974575.8
252.0,0.0,843043510988991.2
253.0,0.0,840867426210942.0
254.0,0.0,838699752087889.5
255.0,0.0,836540444447675.6
256.0,0.0,834389461878902.1
257.0,0.0,832246761589790.8
258.0,0.0,830112300788563.4
259.0,0.0,827986036683441.5
260.0,0.0,825867927863027.0
261.0,0.0,823757932915921.5
262.0,0.0,821656010430726.8
263.0,0.0,819562120376424.2
264.0,0.0,817476219961235.9
265.0,0.0,815398267773763.2
266.0,0.0,813328227924127.9
267.0,0.0,811266056240171.5
268.0,0.0,809211714071255.8
269.0,0.0,807165161386362.2
270.0,0.0,805126359534852.5
271.0,0.0,803095271246468.1
272.0,0.0,801071853729430.8
273.0,0.0,799056069713482.0
274.0,0.0,797047884689123.4
275.0,0.0,795047254484196.5
276.0,0.0,793054144589202.9
277.0,0.0,791068517733883.9
278.0,0.0,789090335267601.2
279.0,0.0,787119561300476.5
280.0,0.0,785156157181871.0
281.0,0.0,783200088402286.4
282.0,0.0,781251316311084.0
283.0,0.0,779309805018385.4
284.0,0.0,777375520014692.0
285.0,0.0,775448424029745.4
286.0,0.0,773528482554046.9
287.0,0.0,771615658317338.1
288.0,0.0,769709918190500.4
289.0,0.0,767811227664035.0
290.0,0.0,765919550848063.5
291.0,0.0,764034851852707.2
292.0,0.0,762157100309607.8
293.0,0.0,760286258948506.2
294.0,0.0,758422294640284.4
295.0,0.0,756565172875443.2
296.0,0.0,754714860524864.2
297.0,0.0,752871327220188.9
