t(s),incident,permeation
1.0,0.0,202112349121648.38
2.0,1.883019981344525e+16,250757084657529.34
3.0,2.3883489641082236e+16,282912077462088.06
4.0,2.556063460992077e+16,312274723835206.9
5.0,2.8463355266057372e+16,348250196970674.06
6.0,3.2113098911011548e+16,391522571757183.56
7.0,3.617563236583494e+16,442771055173558.0
8.0,4.737004056920679e+16,524303222774778.75
9.0,4.82702606190041e+16,594385792353001.1
10.0,4.939631508571766e+16,670625837930217.1
11.0,5.017304408383685e+16,751670110930530.9
12.0,5.041024353315063e+16,836165382793555.8
13.0,5.803638263872406e+16,951855168053280.6
14.0,5.252694251843513e+16,1039137090209907.8
15.0,4.907668195741527e+16,1125432677061950.9
16.0,4.643938159362397e+16,1209558403269110.8
17.0,4.4199575320452184e+16,1290925782493034.0
18.0,4.801333405441439e+16,1393230955195267.0
19.0,4.159615486188271e+16,1464002589045489.8
20.0,3.2729667369509508e+16,1508092752674888.5
21.0,0.0,1426609304203400.2
22.0,0.0,1399346357213576.8
23.0,0.0,1373162338654200.0
24.0,0.0,1347705491825739.0
25.0,0.0,1322947924771052.0
26.0,0.0,1298864310278932.0
27.0,0.0,1275430457190865.5
28.0,0.0,1252623255185836.0
29.0,0.0,1230420607141704.2
30.0,0.0,1208801376680772.8
31.0,0.0,1187745343997626.2
32.0,0.0,1167233161686974.2
33.0,0.0,1147246294006932.5
34.0,0.0,1127766996173325.2
35.0,0.0,1108778260524866.2
36.0,0.0,1090263784774420.4
37.0,0.0,1072207938879885.1
38.0,0.0,1054595730534692.4
39.0,0.0,1037412770658309.1
40.0,0.0,1020645252690538.1
41.0,0.0,1004279918082020.9
42.0,0.0,988304028686636.6
43.0,0.0,972705351577324.4
44.0,0.0,957472125916964.1
45.0,0.0,942593046393816.9
46.0,0.0,928057239755066.4
47.0,0.0,913854249622639.0
48.0,0.0,899974010265985.2
49.0,0.0,886406831417900.9
50.0,0.0,873143391372625.6
51.0,0.0,860174703856726.6
52.0,0.0,847492115268336.2
53.0,0.0,835087286732215.2
54.0,0.0,822952183056711.0
55.0,0.0,811079053408440.0
56.0,0.0,799460423030007.0
57.0,0.0,788089083577346.0
58.0,0.0,776958079315921.0
59.0,0.0,766060696077685.6
60.0,0.0,755390452978804.4
61.0,0.0,744941092756992.5
62.0,0.0,734706570728476.6
63.0,0.0,724681045125334.9
64.0,0.0,714858875715117.6
65.0,0.0,705234608616667.1
66.0,0.0,695802972158978.5
67.0,0.0,686558866528349.9
68.0,0.0,677497361697812.2
69.0,0.0,668613687764470.2
70.0,0.0,659903229427982.0
71.0,0.0,651361518398470.1
72.0,0.0,642984232706330.6
73.0,0.0,634767184278814.4
74.0,0.0,626706319630217.0
75.0,0.0,618797712269788.4
76.0,0.0,611037555799833.9
77.0,0.0,603422165296094.0
78.0,0.0,595947966954894.2
79.0,0.0,588611496712766.0
80.0,0.0,581409398175876.2
81.0,0.0,574338412957368.0
82.0,0.0,567395383438119.9
83.0,0.0,560577244484467.0
84.0,0.0,553881025518770.6
85.0,0.0,547303837405808.44
86.0,0.0,540842882805624.75
87.0,0.0,534495441679540.4
88.0,0.0,528258874050913.1
89.0,0.0,522130617244377.4
90.0,0.0,516108181054514.9
91.0,0.0,510189144985094.25
92.0,0.0,504371161009831.44
93.0,0.0,498651943909729.44
94.0,0.0,493029273343649.06
95.0,0.0,487500993158118.06
96.0,0.0,482065003105052.3
97.0,0.0,476719265743654.7
98.0,0.0,471461794016996.44
99.0,0.0,466290659534296.2
100.0,0.0,461203984978830.5
101.0,0.0,456199942727553.94
102.0,0.0,451276755541288.94
103.0,0.0,446432692423586.2
104.0,0.0,441666070691294.44
105.0,0.0,436975248382470.44
106.0,0.0,432358630468089.44
107.0,0.0,427814661950144.7
108.0,0.0,423341827171458.2
109.0,0.0,418938653266630.0
110.0,0.0,414603701189568.75
111.0,0.0,410335570544821.6
112.0,0.0,406132898207194.2
113.0,0.0,401994352800230.8
114.0,0.0,397918638147164.3
115.0,0.0,393904491200346.2
116.0,0.0,389950678590296.9
117.0,0.0,386055999386465.3
118.0,0.0,382219282336469.2
119.0,0.0,378439382415145.3
120.0,0.0,374715186346069.06
121.0,0.0,371045605699654.9
122.0,0.0,367429578963726.0
123.0,0.0,363866070853324.7
124.0,0.0,360354070240142.25
125.0,0.0,356892590152518.8
126.0,0.0,353480667775443.75
127.0,0.0,350117360999605.5
128.0,0.0,346801755323291.4
129.0,0.0,343532950048588.0
130.0,0.0,340310072085181.2
131.0,0.0,337132264217125.7
132.0,0.0,333998693385125.7
