t(s),incident,permeation
1.0,0.0,791259719681404.1
2.0,0.0,786561573076598.9
3.0,3157589474355774.0,793299777678662.6
4.0,9656222824097118.0,818411711731353.8
5.0,1.264905180187299e+16,843840296660847.5
6.0,1.5461396381293788e+16,874801031671044.4
7.0,1.811024239835486e+16,911238972118665.9
8.0,2.058756451205818e+16,953032223552784.2
9.0,2.726013469252005e+16,1016771346134289.4
10.0,2.7053648765276244e+16,1069889041373241.5
11.0,2.7530531689087184e+16,1126206068054521.5
12.0,2.798532439950931e+16,1184626477662976.5
13.0,2.8153922868457336e+16,1244052077185666.0
14.0,3.268046608190425e+16,1322931948253583.8
15.0,2.8992230531767892e+16,1380437310899267.0
16.0,2.6771582116779868e+16,1435508216150940.8
17.0,2.5164158004031108e+16,1488106256317051.8
18.0,2.3896033204696616e+16,1538447503650565.8
19.0,2.6401791398717836e+16,1602381954135242.5
20.0,2.310273389224453e+16,1648220925256441.0
21.0,2.1469388105602772e+16,1692463088042959.2
22.0,2.056568489223004e+16,1735571453676649.2
23.0,1.988380402909548e+16,1777254048332962.0
24.0,1.9338837170245776e+16,1817699165498875.8
25.0,2.1666311583575496e+16,1869918557783773.2
26.0,1.9375844305341644e+16,1907862110384715.0
27.0,1.8372604548755356e+16,1944879644763092.5
28.0,1.7747574215649896e+16,1980630946956464.8
29.0,1.740074945171376e+16,2015762824355805.2
30.0,1.9385338204768052e+16,2060936831948630.0
31.0,1.7637558264180274e+16,2094503346068407.5
32.0,1.6879359663556148e+16,2127195223848264.8
33.0,1.6576018723686256e+16,2159606996310328.2
34.0,1.6516557553155942e+16,2192160359864736.0
35.0,1.8685600276223656e+16,2235391972721698.5
36.0,1.729316081968447e+16,2268175453894998.5
37.0,1.6905070829766116e+16,2301196782814876.5
38.0,1.6816436956803668e+16,2334329005937910.5
39.0,1.683971303992881e+16,2367626456399064.0
40.0,1.9059338172463064e+16,2411965201609482.0
41.0,1.7545681727621106e+16,2444950026381748.5
42.0,1.6970731097994082e+16,2477336866421270.0
43.0,1.6777121807319614e+16,2509559957509590.5
44.0,1.6501621341220412e+16,2540558306492872.5
45.0,1.832369731517948e+16,2581264617771351.5
46.0,1.6679659515488316e+16,2610366726402568.5
47.0,1.6058180462731422e+16,2638742509475775.0
48.0,1.5569247310653606e+16,2665439045163305.0
49.0,1.5242731811798324e+16,2691069991031783.5
50.0,1.6327931223229136e+16,2722780707171086.0
51.0,1.478600501929035e+16,2744436717855617.0
52.0,1.4044714511064324e+16,2764507819080582.5
53.0,1.3491774068790366e+16,2782714754461854.0
54.0,1.2928240856802462e+16,2798688415924009.0
55.0,1.2451203130369264e+16,2812908168010093.0
56.0,1.2525736297832624e+16,2828178165611773.0
57.0,1.135791133319813e+16,2836970077407978.5
58.0,1.0000445005278242e+16,2840304851730380.5
59.0,1.0000384755423846e+16,2845801093987608.5
60.0,1.0000168472842224e+16,2851253358720210.5
61.0,0.0,2803269677476702.5
62.0,0.0,2772046638528466.0
63.0,0.0,2741437171563299.5
64.0,0.0,2711331401098445.5
65.0,0.0,2681717951422788.0
