t(s),incident,permeation
2.0,7405834085000372.0,890606997675740.6
4.0,1.4798495188927724e+16,961750831652460.0
6.0,1.6664459681147256e+16,1033709942870761.1
8.0,2.055273572929696e+16,1129092762764922.5
10.0,2.0007148310712744e+16,1217847132066343.0
12.0,2.002424812916398e+16,1310638999511898.8
14.0,2.2149497231209172e+16,1420976454025425.0
16.0,1.978997542260987e+16,1514826725032044.8
18.0,2.0502002448761396e+16,1620444766807353.5
20.0,1.769432620568155e+16,1707017705119202.5
22.0,1.6406116603429808e+16,1790448978741251.8
24.0,1.7144173694373504e+16,1883264882742767.2
26.0,1.4953039261068392e+16,1959447998000155.5
28.0,1.550851642092421e+16,2044785595649758.8
30.0,1.3578922161332482e+16,2114883717278616.8
32.0,1.2813614263507758e+16,2182692460825927.0
34.0,1.363124666538942e+16,2259174109473357.0
36.0,1.2111421681121646e+16,2322339470229368.0
38.0,1.2764747942728508e+16,2394006828483910.5
40.0,1.1415872454880706e+16,2453611310063123.0
42.0,1.097215105425929e+16,2511927278744658.5
44.0,1.1813403653356618e+16,2578594974003296.5
46.0,1.0723145040335552e+16,2634630655785593.5
48.0,1.1457246316758992e+16,2699187168970373.5
50.0,1.0465633113642682e+16,2753920235893489.0
52.0,1.0241120788464124e+16,2808393116381398.5
54.0,1.1171221078560956e+16,2871843798911010.0
56.0,1.0315133801354428e+16,2926090392334370.5
58.0,1.1092367921041102e+16,2989038279751773.0
60.0,1.0000371227446954e+16,3040662979510090.0
62.0,1.000024053928891e+16,3094112903213509.5
64.0,1.0883209562594116e+16,3155978459563904.5
66.0,9999779737673316.0,3208049819903640.5
68.0,1.0333819150363808e+16,3264784481917263.5
70.0,9505821434089052.0,3312980019733389.0
72.0,9218125829557294.0,3359683488303822.0
74.0,9999632212345926.0,3414457729199897.0
76.0,8791304777038347.0,3456012444077846.5
78.0,9425524860157460.0,3505725842158532.5
80.0,8739264742163855.0,3547494772678423.5
82.0,8575339863156850.0,3588630680281457.0
84.0,9198858902946480.0,3636193145487048.0
